SEGMENT_ID,HIGHWAY_NUMBER,REGION,SEGMENT_LENGTH_KM,LANE_COUNT,SURFACE_TYPE,CONDITION_INDEX,LAST_INSPECTION_DATE,TRAFFIC_VOLUME_DAILY,ACCIDENT_COUNT_ANNUAL,SPEED_LIMIT,WINTER_MAINTENANCE_PRIORITY,BRIDGE_COUNT,CULVERT_COUNT,REHABILITATION_YEAR,ESTIMATED_REPLACEMENT_COST,LAST_UPDATED
SEG_00461,69,Waterloo,31.5,5,Gravel,7.0,2026-02-25,198868,35,60,D,4,3,2023,13130731.0,2026-01-10
SEG_00225,7,Durham,16.6,5,Asphalt,7.3,2025-12-29,158405,15,40,B,4,3,2017,29042339.0,2026-06-27
SEG_00261,403,Niagara,32.7,2,Concrete,4.1,2026-03-10,69064,43,40,A,1,3,2028,4960152.0,2026-04-19
SEG_00202,400,Eastern,11.4,6,Composite,7.1,2023-01-30,184278,20,110,D,0,5,2028,35188555.0,2026-07-27
SEG_00171,404,Ottawa,7.3,4,Asphalt,4.0,2025-09-04,89979,47,40,A,2,10,2023,6258972.0,2026-04-16
SEG_00289,69,Waterloo,11.4,8,Composite,7.9,2023-06-10,44148,12,50,A,1,7,2026,31568285.0,2026-01-10
SEG_00442,11,Northern,44.5,4,Gravel,5.6,2024-02-23,127732,11,50,D,3,10,2016,32113034.0,2026-03-25
SEG_00187,11,GTA,43.7,7,Gravel,2.8,2025-10-03,112025,41,40,B,0,8,2018,42854712.0,2026-04-23
SEG_00251,17,Northern,48.5,7,Asphalt,7.4,2023-01-09,163603,24,60,B,5,7,2018,19097419.0,2026-02-09
SEG_00361,11,Niagara,28.9,3,Composite,1.4,2024-10-17,166726,13,100,B,2,9,2020,10731863.0,2026-04-11
SEG_00242,11,Southwestern,21.1,5,Concrete,2.8,2025-03-10,127237,4,110,C,3,6,2018,40851575.0,2026-03-01
SEG_00124,69,Waterloo,7.2,5,Concrete,5.7,2023-09-07,188562,43,100,B,5,7,2025,9447020.0,2026-03-13
SEG_00315,403,Central,33.6,4,Concrete,7.3,2023-09-30,67621,4,80,A,3,6,2022,25154789.0,2026-02-17
SEG_00402,404,Waterloo,18.3,2,Composite,7.2,2024-10-14,165159,4,100,C,4,1,2022,7414894.0,2026-06-22
SEG_00493,417,Hamilton,32.5,3,Concrete,3.3,2023-09-13,111282,34,50,D,4,10,2019,19789366.0,2026-03-15
SEG_00450,11,Central,50.0,3,Composite,8.2,2025-09-21,30561,43,110,B,1,0,2021,49367528.0,2026-02-27
SEG_00465,404,Ottawa,0.5,3,Composite,3.2,2024-04-20,101858,5,100,A,1,4,2022,6002217.0,2026-06-03
SEG_00496,401,Hamilton,40.1,3,Concrete,2.5,2024-10-19,15027,6,40,C,1,8,2029,40036501.0,2026-04-10
SEG_00345,404,Durham,7.3,3,Asphalt,5.2,2025-08-13,179715,45,110,D,0,1,2022,8481892.0,2026-04-17
SEG_00372,7,Southwestern,12.0,2,Gravel,6.4,2023-01-29,111257,50,40,C,3,7,2022,8800569.0,2026-02-19
SEG_00211,QEW,GTA,18.8,3,Composite,7.4,2023-08-10,182370,1,60,A,5,10,2026,4735781.0,2026-02-20
SEG_00134,11,GTA,46.1,7,Concrete,5.8,2023-12-14,93255,21,110,A,2,6,2016,36486804.0,2026-04-15
SEG_00048,410,Eastern,48.3,7,Composite,9.1,2024-01-30,60959,6,80,B,2,3,2021,30646063.0,2026-06-13
SEG_00059,11,GTA,7.9,7,Concrete,8.2,2024-03-18,53861,12,60,C,5,6,2015,3180896.0,2026-04-19
SEG_00021,404,GTA,39.4,2,Composite,9.9,2025-11-16,110352,16,100,B,3,9,2019,13269543.0,2026-06-15
SEG_00270,17,Waterloo,35.1,6,Asphalt,5.5,2025-03-09,14822,38,40,C,2,2,2015,19853856.0,2026-02-05
SEG_00327,69,Central,19.5,3,Asphalt,6.2,2023-01-02,98480,44,80,D,5,5,2018,12983010.0,2026-04-28
SEG_00091,417,Hamilton,27.6,6,Asphalt,3.5,2023-12-12,40875,0,100,D,3,8,2023,25659523.0,2026-01-25
SEG_00300,69,GTA,10.1,2,Composite,7.3,2025-11-23,191770,2,50,C,5,1,2028,13146712.0,2026-04-03
SEG_00132,417,Central,47.9,3,Concrete,6.5,2026-04-28,19847,25,40,B,3,10,2021,44415184.0,2026-01-28
SEG_00008,403,Central,33.0,2,Composite,8.0,2024-10-13,52532,30,80,D,5,1,2020,15519397.0,2026-06-06
SEG_00413,403,GTA,35.7,6,Gravel,3.9,2024-11-27,81364,22,100,C,0,4,2017,28073106.0,2026-01-12
SEG_00337,17,Hamilton,41.0,4,Concrete,5.8,2025-08-11,181988,0,100,B,3,8,2021,7856150.0,2026-05-28
SEG_00481,7,GTA,1.5,3,Composite,3.0,2026-07-13,15441,15,50,B,3,1,2021,9219673.0,2026-05-25
SEG_00021,404,Eastern,8.8,3,Gravel,7.1,2024-03-10,166371,50,40,C,4,1,2016,1181660.0,2026-06-04
SEG_00422,401,Southwestern,33.4,8,Gravel,5.6,2023-11-18,54040,1,110,D,0,6,2024,45303723.0,2026-06-27
SEG_00077,QEW,Hamilton,7.7,6,Gravel,5.4,2023-06-05,76914,6,50,D,0,2,2019,28327076.0,2026-03-30
SEG_00340,17,Hamilton,48.3,7,Concrete,9.1,2025-02-10,88334,21,100,A,1,7,2027,40077296.0,2026-01-30
SEG_00457,69,Niagara,25.5,6,Asphalt,6.0,2025-12-05,160717,7,80,B,4,6,2023,48915126.0,2026-04-05
SEG_00178,401,Durham,26.0,2,Gravel,7.1,2023-05-12,52490,15,50,B,4,1,2017,31370588.0,2026-01-19
SEG_00032,QEW,Eastern,3.3,4,Gravel,6.9,2024-09-08,29313,40,50,A,3,1,2023,40125805.0,2026-03-11
SEG_00086,401,Eastern,30.6,8,Gravel,2.3,2024-05-30,93007,32,100,B,1,7,2016,36819313.0,2026-05-07
SEG_00113,407,Eastern,47.7,3,Concrete,5.4,2023-11-16,35174,8,40,B,4,0,2029,19121703.0,2026-04-25
SEG_00083,410,Southwestern,48.9,7,Gravel,6.3,2025-06-20,156199,10,50,A,1,5,2018,49436142.0,2026-04-02
SEG_00455,7,Niagara,6.7,5,Gravel,7.7,2024-06-14,7749,39,80,A,3,8,2027,9410805.0,2026-04-23
SEG_00330,QEW,Central,31.5,4,Concrete,3.5,2026-02-19,34510,1,80,B,2,1,2015,13323619.0,2026-03-06
SEG_00402,17,Niagara,26.9,4,Composite,8.2,2026-02-14,104736,1,110,A,2,2,2029,12988469.0,2026-05-25
SEG_00285,417,Ottawa,12.4,3,Composite,1.2,2026-02-23,181756,1,60,A,2,5,2016,20331427.0,2026-05-04
SEG_00118,417,Eastern,8.9,7,Gravel,7.4,2024-01-13,4710,13,80,D,3,1,2023,26043396.0,2026-01-09
SEG_00036,69,Niagara,32.5,4,Composite,4.8,2025-10-25,184444,20,80,D,3,3,2017,33009339.0,2026-07-20
SEG_00146,401,Niagara,14.7,5,Asphalt,4.7,2024-12-15,170334,30,40,B,5,2,2023,14727252.0,2026-05-20
SEG_00069,QEW,Durham,18.5,8,Composite,5.6,2023-05-26,124550,17,100,B,3,6,2018,43776108.0,2026-01-15
SEG_00037,407,Waterloo,27.4,8,Concrete,9.0,2023-01-11,39634,11,60,A,3,8,2025,20434421.0,2026-01-27
SEG_00407,7,Central,4.3,5,Concrete,8.1,2023-11-11,95587,20,60,B,4,10,2024,3689271.0,2026-07-13
SEG_00004,410,Northern,45.4,5,Concrete,7.9,2023-06-16,71773,46,80,B,0,2,2024,31914099.0,2026-07-30
SEG_00106,17,Northern,1.4,3,Asphalt,7.3,2025-08-12,57782,34,110,A,1,10,2019,48922112.0,2026-07-22
SEG_00255,7,Niagara,28.5,3,Concrete,3.0,2023-03-16,11829,15,110,A,4,1,2015,40026137.0,2026-02-10
SEG_00218,17,Central,14.6,2,Gravel,4.4,2025-05-27,28148,24,110,C,3,2,2025,48484887.0,2026-06-09
SEG_00121,7,Southwestern,9.1,4,Asphalt,1.3,2025-12-03,126942,43,100,A,3,4,2020,46079301.0,2026-05-01
SEG_00188,403,Central,19.1,8,Concrete,9.2,2024-02-12,186598,33,110,A,1,1,2015,21134606.0,2026-07-31
SEG_00047,404,GTA,47.1,6,Composite,4.5,2023-12-03,156044,0,80,B,5,4,2030,35068868.0,2026-01-31
SEG_00340,69,Eastern,20.4,8,Gravel,2.4,2025-09-02,109039,17,50,D,2,9,2021,28535853.0,2026-06-14
SEG_00226,401,Eastern,6.9,7,Composite,4.0,2024-05-06,193240,47,50,C,3,3,2027,41752802.0,2026-01-13
SEG_00192,400,Durham,40.4,7,Gravel,1.4,2025-12-01,81643,19,50,C,0,0,2028,34392207.0,2026-03-04
SEG_00342,7,Central,27.7,4,Asphalt,2.4,2026-05-22,161597,1,80,C,0,0,2017,16791565.0,2026-06-13
SEG_00311,410,Durham,30.5,7,Composite,4.9,2023-05-01,157788,21,80,B,2,9,2021,32774146.0,2026-07-09
SEG_00293,11,Central,20.3,5,Concrete,5.3,2024-07-30,61704,34,40,C,5,10,2016,32244819.0,2026-02-19
SEG_00229,417,Niagara,18.7,2,Composite,5.6,2024-09-16,64974,16,100,B,4,3,2023,37380053.0,2026-07-02
SEG_00270,404,GTA,11.6,2,Concrete,4.0,2026-02-19,199242,47,60,C,5,4,2022,49240931.0,2026-07-18
SEG_00473,69,Eastern,24.7,4,Concrete,9.4,2023-05-04,34206,42,110,B,4,1,2016,25689584.0,2026-05-22
SEG_00460,17,Southwestern,12.2,8,Concrete,2.6,2026-07-04,24998,49,110,B,1,1,2022,32614278.0,2026-05-28
SEG_00484,401,GTA,31.9,8,Composite,4.3,2025-09-13,147706,39,80,B,4,8,2024,48444172.0,2026-05-10
SEG_00349,401,Central,46.4,6,Composite,6.0,2026-05-26,66845,9,40,D,5,10,2020,21096219.0,2026-06-10
SEG_00019,7,Northern,5.4,7,Gravel,6.5,2023-12-17,149380,46,110,B,5,3,2018,42456992.0,2026-04-28
SEG_00439,7,Southwestern,20.7,7,Gravel,4.4,2023-07-28,116915,45,40,B,1,2,2030,10539441.0,2026-05-23
SEG_00475,403,Hamilton,49.3,7,Composite,9.2,2024-07-14,22946,15,100,D,1,1,2030,45713174.0,2026-01-02
SEG_00193,QEW,Central,21.8,4,Asphalt,3.6,2025-11-10,83397,34,60,C,5,2,2018,3588048.0,2026-06-08
SEG_00424,407,Southwestern,10.7,4,Gravel,1.2,2025-06-13,42945,45,40,D,2,8,2017,29752596.0,2026-07-27
SEG_00313,417,GTA,24.8,5,Asphalt,7.6,2024-12-27,110594,22,40,A,3,3,2026,36810686.0,2026-03-05
SEG_00036,11,Niagara,38.2,8,Gravel,5.1,2023-02-03,145508,6,60,C,0,8,2019,49502463.0,2026-02-25
SEG_00499,QEW,Durham,49.2,6,Gravel,7.9,2025-02-12,54429,44,60,B,1,5,2028,41955596.0,2026-03-29
SEG_00278,11,Waterloo,11.1,8,Asphalt,5.0,2024-03-07,9464,37,40,A,5,9,2017,11298973.0,2026-03-19
SEG_00421,417,Durham,34.0,2,Asphalt,7.1,2025-04-27,164474,5,60,C,2,2,2028,2918495.0,2026-04-22
SEG_00252,417,Ottawa,17.2,6,Asphalt,6.3,2024-05-19,24379,42,40,C,1,4,2029,13856532.0,2026-03-25
SEG_00318,401,Eastern,5.1,8,Concrete,5.6,2023-07-09,47692,35,110,D,0,4,2015,29249494.0,2026-03-19
SEG_00283,11,Durham,17.1,8,Gravel,4.2,2024-09-21,151130,37,100,C,3,3,2016,33153342.0,2026-02-16
SEG_00183,407,Southwestern,13.9,6,Composite,6.6,2023-07-05,159194,30,80,C,2,10,2025,18988545.0,2026-05-04
SEG_00389,QEW,Waterloo,13.0,2,Gravel,6.1,2023-02-18,154310,0,100,C,4,4,2024,12648114.0,2026-07-29
SEG_00475,400,Central,21.9,4,Gravel,7.9,2026-06-15,130304,7,80,A,4,2,2022,48677257.0,2026-02-01
SEG_00100,17,GTA,2.5,6,Asphalt,7.6,2025-01-17,184368,8,80,D,5,8,2030,39007359.0,2026-02-13
SEG_00065,417,Durham,32.7,4,Asphalt,9.1,2025-09-20,124576,8,50,C,4,9,2016,35127809.0,2026-04-08
SEG_00341,403,Ottawa,28.3,6,Concrete,9.6,2024-09-05,8199,41,80,D,4,6,2025,33686522.0,2026-05-22
SEG_00403,417,Eastern,43.1,4,Gravel,5.8,2026-06-29,83322,17,100,D,3,1,2027,1033010.0,2026-06-09
SEG_00011,417,Southwestern,23.9,8,Concrete,8.6,2023-10-20,34333,44,110,A,1,1,2025,16670556.0,2026-06-26
SEG_00290,400,Northern,9.9,2,Composite,9.5,2024-12-25,2003,16,110,A,3,8,2024,7493243.0,2026-01-14
SEG_00129,400,Durham,33.2,7,Composite,4.2,2024-05-02,108597,22,100,D,2,3,2020,8303509.0,2026-07-31
SEG_00153,11,GTA,45.3,5,Concrete,4.4,2024-11-20,79495,29,40,C,0,8,2016,20432049.0,2026-05-31
SEG_00420,403,Durham,8.8,6,Concrete,8.3,2025-04-04,114522,49,60,D,1,1,2020,30996316.0,2026-05-30
SEG_00323,11,Southwestern,41.1,4,Asphalt,5.3,2026-02-14,69702,42,100,A,1,9,2027,18204145.0,2026-01-21
SEG_00247,417,Ottawa,38.1,2,Gravel,2.9,2023-01-11,42721,32,110,B,5,0,2027,31451813.0,2026-06-12
SEG_00266,417,Northern,34.7,3,Asphalt,2.2,2025-08-04,91126,34,60,B,0,10,2020,49152063.0,2026-03-11
SEG_00058,407,Ottawa,11.8,8,Composite,6.3,2024-06-11,95964,45,60,D,2,3,2030,37217500.0,2026-05-16
SEG_00359,69,Ottawa,20.5,4,Composite,6.6,2024-09-19,43681,31,80,C,5,5,2017,14916218.0,2026-04-08
SEG_00365,401,Northern,33.4,8,Gravel,8.8,2025-03-20,94080,32,40,D,4,2,2018,19627667.0,2026-07-02
SEG_00057,404,Central,46.7,3,Composite,8.5,2023-11-01,93214,39,40,C,5,10,2024,10103918.0,2026-05-29
SEG_00244,407,Durham,37.2,2,Composite,5.0,2023-01-13,182629,2,80,A,5,8,2023,38542130.0,2026-02-27
SEG_00151,410,Ottawa,24.8,7,Concrete,6.1,2025-12-30,128132,28,110,B,4,1,2024,13021293.0,2026-04-24
SEG_00465,417,Niagara,37.9,5,Composite,2.3,2025-11-08,103384,18,110,A,5,9,2021,41340892.0,2026-02-11
SEG_00121,407,Waterloo,37.6,5,Asphalt,8.1,2023-10-23,42470,16,40,A,4,10,2022,7193746.0,2026-03-29
SEG_00495,403,Niagara,17.2,8,Concrete,5.7,2023-03-06,139806,35,80,D,5,4,2030,14990127.0,2026-03-17
SEG_00217,410,Waterloo,47.5,4,Concrete,1.5,2025-06-11,159308,33,110,C,4,8,2029,40544616.0,2026-02-24
SEG_00268,401,Ottawa,48.8,6,Gravel,3.5,2026-05-15,182325,40,50,B,1,6,2025,45627482.0,2026-07-07
SEG_00019,7,Ottawa,48.5,4,Concrete,3.3,2023-08-29,55888,2,110,A,3,7,2020,16601908.0,2026-04-30
SEG_00498,404,Waterloo,10.2,7,Concrete,4.9,2023-07-15,197037,22,110,D,1,3,2030,2584689.0,2026-05-04
SEG_00343,400,Eastern,10.6,6,Concrete,9.5,2024-06-28,181475,36,110,C,3,2,2027,18342939.0,2026-01-01
SEG_00058,17,Durham,27.4,2,Gravel,3.2,2024-07-04,96874,10,60,C,1,6,2020,45481387.0,2026-06-30
SEG_00430,403,Durham,1.9,3,Composite,4.3,2023-06-19,68924,6,40,C,5,8,2030,8208881.0,2026-03-10
SEG_00089,11,GTA,38.5,4,Concrete,3.0,2025-11-24,192540,40,100,B,3,5,2027,8693495.0,2026-02-19
SEG_00062,11,Eastern,29.4,3,Asphalt,1.6,2023-04-20,167681,44,60,A,1,1,2025,1215776.0,2026-07-23
SEG_00279,407,Waterloo,28.3,3,Asphalt,3.8,2025-02-01,32079,11,100,C,5,10,2020,45791265.0,2026-04-15
SEG_00214,11,Ottawa,29.2,6,Composite,2.5,2025-04-27,68354,0,60,B,4,2,2028,16570870.0,2026-07-10
SEG_00023,17,Waterloo,12.2,8,Gravel,5.7,2025-12-10,38881,30,40,C,3,10,2030,2847498.0,2026-05-07
SEG_00443,17,Northern,22.6,8,Composite,3.8,2024-08-17,15636,4,50,A,3,1,2015,42974158.0,2026-01-05
SEG_00348,417,Central,17.5,6,Gravel,9.3,2025-02-24,151212,41,60,B,5,2,2017,26734963.0,2026-01-21
SEG_00116,407,Ottawa,48.4,4,Composite,1.2,2025-12-17,21406,10,50,D,1,10,2024,18100952.0,2026-04-26
SEG_00435,69,Niagara,3.9,5,Gravel,8.7,2025-11-26,130240,8,100,A,0,8,2021,29581280.0,2026-07-08
SEG_00320,404,Southwestern,35.5,7,Gravel,7.2,2024-01-17,158267,44,100,B,1,3,2025,10034368.0,2026-03-09
SEG_00121,7,Niagara,4.8,2,Concrete,2.5,2024-01-05,86257,26,60,B,3,8,2023,10905294.0,2026-01-19
SEG_00353,417,Southwestern,2.3,7,Asphalt,2.1,2024-06-02,92621,7,40,C,2,1,2029,36609167.0,2026-07-24
SEG_00332,410,Hamilton,17.0,8,Gravel,2.0,2025-06-09,98525,40,80,A,4,2,2019,8469730.0,2026-06-22
SEG_00277,401,GTA,24.5,3,Composite,5.5,2024-04-12,50521,38,40,B,1,2,2024,19177757.0,2026-02-10
SEG_00244,401,Durham,6.3,2,Asphalt,1.5,2025-08-23,26777,44,80,A,3,0,2030,30754427.0,2026-07-11
SEG_00471,17,Eastern,35.7,6,Composite,7.9,2023-02-14,35742,46,100,D,3,7,2030,48315845.0,2026-04-14
SEG_00241,410,GTA,35.8,5,Composite,3.9,2024-04-21,168383,38,60,B,3,4,2025,249651.0,2026-04-09
SEG_00110,69,Central,10.2,3,Gravel,2.8,2024-06-19,84948,29,40,A,3,3,2030,32514474.0,2026-01-15
SEG_00451,17,Eastern,28.9,4,Gravel,9.1,2025-10-23,52872,11,110,C,4,2,2021,40528442.0,2026-04-25
SEG_00294,400,Durham,8.5,2,Concrete,5.0,2026-04-27,54582,36,60,A,2,6,2019,22467752.0,2026-01-12
SEG_00086,7,GTA,34.3,3,Asphalt,9.7,2025-04-05,62703,32,40,D,3,8,2017,23806257.0,2026-01-06
SEG_00408,404,Ottawa,13.2,4,Asphalt,5.5,2026-04-10,23969,27,100,D,3,10,2027,24589642.0,2026-07-09
SEG_00118,403,Central,45.2,5,Concrete,8.2,2023-10-26,182790,33,100,B,1,10,2030,3315010.0,2026-01-11
SEG_00202,400,Eastern,30.4,8,Gravel,6.4,2024-10-09,146190,13,100,A,4,0,2030,11734567.0,2026-02-04
SEG_00025,11,Waterloo,28.3,2,Composite,1.7,2024-05-27,140254,34,110,C,5,10,2028,21198889.0,2026-04-20
SEG_00045,403,Southwestern,35.4,4,Composite,5.5,2025-02-11,7846,39,60,D,2,2,2021,33324198.0,2026-04-08
SEG_00466,410,Southwestern,42.1,7,Composite,3.0,2026-03-07,99527,0,110,D,4,5,2019,38943559.0,2026-04-03
SEG_00458,410,Northern,4.2,8,Concrete,7.7,2025-07-23,134195,23,40,B,2,9,2015,2244033.0,2026-05-03
SEG_00476,401,GTA,30.0,5,Concrete,5.6,2024-06-09,22000,31,50,D,1,8,2016,17030429.0,2026-06-24
SEG_00463,69,Northern,15.5,6,Asphalt,1.5,2025-04-08,164874,0,80,C,5,7,2018,29704470.0,2026-07-01
SEG_00278,417,Ottawa,22.6,5,Composite,1.3,2024-04-21,161221,40,40,B,1,4,2028,24940687.0,2026-04-14
SEG_00426,410,Durham,4.5,8,Composite,6.2,2024-08-10,132292,37,100,C,2,5,2024,45024256.0,2026-07-24
SEG_00233,69,Waterloo,38.5,7,Gravel,3.0,2023-07-04,82433,4,110,A,1,4,2029,28102132.0,2026-04-25
SEG_00413,407,Waterloo,18.3,5,Composite,2.2,2024-02-21,126215,33,40,A,2,1,2018,4673934.0,2026-01-31
SEG_00264,407,GTA,19.3,3,Gravel,8.0,2023-03-07,166827,32,80,D,5,8,2029,26012724.0,2026-07-23
SEG_00223,7,Waterloo,17.8,7,Gravel,3.9,2025-09-26,6441,41,60,B,1,9,2021,570257.0,2026-02-18
SEG_00214,QEW,Niagara,1.7,6,Concrete,4.9,2026-01-30,198131,11,100,C,0,3,2027,34225543.0,2026-07-26
SEG_00432,7,Eastern,15.3,7,Asphalt,4.7,2025-07-03,60385,43,40,B,5,1,2020,32359172.0,2026-07-19
SEG_00444,11,Niagara,45.9,5,Asphalt,9.3,2024-12-24,35377,28,50,B,5,6,2018,30626085.0,2026-03-12
SEG_00041,401,Northern,12.7,3,Gravel,5.6,2024-03-06,76077,20,50,D,0,6,2019,37370717.0,2026-06-25
SEG_00371,404,Eastern,20.4,4,Concrete,9.4,2024-05-11,158062,0,110,B,4,6,2026,33813372.0,2026-03-19
SEG_00221,403,Ottawa,11.7,3,Composite,8.4,2023-08-13,109793,48,100,C,4,5,2025,32797843.0,2026-02-28
SEG_00292,400,Eastern,32.1,7,Gravel,5.6,2025-04-19,68491,21,50,C,0,0,2025,49571124.0,2026-02-24
SEG_00359,410,Hamilton,11.1,7,Composite,6.1,2023-09-21,122054,1,80,C,0,5,2020,34374731.0,2026-01-13
SEG_00351,11,Durham,8.9,8,Concrete,9.7,2023-01-25,120122,30,50,C,4,4,2028,31707564.0,2026-05-03
SEG_00424,69,Central,23.7,8,Asphalt,8.3,2023-08-18,137130,35,80,D,4,2,2028,16655768.0,2026-04-06
SEG_00002,17,Central,46.3,6,Concrete,4.1,2026-03-31,167256,14,100,D,0,1,2023,22422300.0,2026-04-29
SEG_00211,17,Niagara,26.1,4,Gravel,8.5,2023-12-26,130479,29,50,B,0,4,2023,15669072.0,2026-06-24
SEG_00105,7,Hamilton,43.3,5,Gravel,7.0,2023-06-30,103365,11,60,C,3,10,2018,48256032.0,2026-02-07
SEG_00298,11,Eastern,7.0,6,Asphalt,3.8,2024-12-06,181891,11,100,B,2,7,2018,29662047.0,2026-01-02
SEG_00371,407,Ottawa,22.9,6,Gravel,2.0,2023-05-15,118552,2,40,A,3,9,2027,34772436.0,2026-04-20
SEG_00263,410,Central,1.6,8,Gravel,3.8,2023-01-19,30465,46,110,D,3,2,2020,40302460.0,2026-07-20
SEG_00449,403,Ottawa,46.6,5,Gravel,3.6,2025-08-14,135629,25,110,C,5,6,2025,45976085.0,2026-05-19
SEG_00044,17,Central,30.9,5,Composite,8.5,2024-08-06,162231,10,80,A,5,5,2027,8602482.0,2026-03-23
SEG_00153,QEW,GTA,22.8,7,Gravel,6.1,2025-10-24,62293,20,50,C,3,8,2015,20228767.0,2026-06-21
SEG_00415,403,Central,41.0,7,Gravel,5.7,2023-06-26,68248,13,40,D,3,9,2022,15276934.0,2026-05-05
SEG_00141,69,Northern,23.4,5,Concrete,4.2,2023-07-31,162768,35,110,D,5,2,2029,27824701.0,2026-02-15
SEG_00301,401,Central,44.7,8,Asphalt,3.6,2024-09-12,84492,29,50,D,2,4,2020,42145804.0,2026-04-01
