CLIENT_ID,AGE_GROUP,GENDER,POSTAL_CODE_PREFIX,REGION,HOUSEHOLD_SIZE,INCOME_BRACKET,EMPLOYMENT_STATUS,EDUCATION_LEVEL,LANGUAGE_PREFERENCE,INDIGENOUS_IDENTITY,DISABILITY_FLAG,IMMIGRATION_STATUS,YEARS_IN_CANADA,MARITAL_STATUS,DEPENDENTS_COUNT,HOUSING_TYPE,DIGITAL_ACCESS,LAST_UPDATED
CLT-000026,25-34,Non-Binary,M0Q,Central,4,$20-40K,Retired,High School,Bilingual,No,No,Work Permit,5,Common-Law,5,Shelter,Yes,2026-07-24
CLT-000027,55-64,Male,P3K,Ottawa,1,$60-80K,Self-Employed,College,Bilingual,No,No,PR,44,Divorced,5,Own,No,2026-02-04
CLT-000028,45-54,Female,P1N,Hamilton,2,$20-40K,Student,College,Other,Yes,Yes,Citizen,42,Common-Law,3,Social Housing,No,2026-07-04
CLT-000029,65+,Female,N4D,Northern,7,$60-80K,Employed FT,Master,Bilingual,Prefer Not to Say,Yes,Other,50,Divorced,3,Rent,Yes,2026-05-31
CLT-000030,55-64,Male,N9H,Ottawa,5,$60-80K,Employed PT,Less than HS,French,Prefer Not to Say,No,Citizen,27,Divorced,0,Social Housing,No,2026-01-09
CLT-000031,65+,Non-Binary,T9S,Durham,2,$20-40K,Self-Employed,Doctorate,Other,No,Yes,Citizen,11,Married,2,Rent,Limited,2026-05-23
CLT-000032,55-64,Male,L8L,Ottawa,6,$40-60K,Self-Employed,High School,English,Yes,No,Other,15,Divorced,2,Social Housing,Yes,2026-06-23
CLT-000033,25-34,Female,T3D,Eastern,3,$20-40K,Student,College,Bilingual,No,No,Refugee,11,Widowed,4,Own,Yes,2026-07-03
CLT-000034,35-44,Non-Binary,P0X,Southwestern,6,$40-60K,Employed PT,Less than HS,French,Prefer Not to Say,No,PR,27,Widowed,2,Rent,Yes,2026-01-10
CLT-000035,65+,Female,T9P,Hamilton,1,>$100K,Self-Employed,Less than HS,Bilingual,Yes,No,PR,43,Widowed,0,Shelter,Limited,2026-02-02
CLT-000036,45-54,Non-Binary,M7G,Northern,5,<$20K,On Leave,Bachelor,French,Prefer Not to Say,Yes,Citizen,46,Widowed,3,Rent,Limited,2026-02-09
CLT-000037,25-34,Male,P8H,Niagara,5,<$20K,On Leave,College,Other,Yes,No,Refugee,49,Divorced,0,Own,No,2026-02-05
CLT-000038,55-64,Prefer Not to Say,N0O,Southwestern,3,$80-100K,Self-Employed,Master,English,No,Yes,Citizen,16,Common-Law,2,Own,Yes,2026-07-27
CLT-000039,25-34,Male,K6X,Durham,2,$80-100K,Student,Master,English,Yes,No,Work Permit,3,Married,4,Social Housing,Limited,2026-04-13
CLT-000040,45-54,Prefer Not to Say,M3U,GTA,3,<$20K,Retired,Doctorate,French,No,No,Refugee,43,Common-Law,2,Own,Limited,2026-07-02
CLT-000041,65+,Female,K6R,Durham,1,<$20K,Employed FT,High School,French,No,Yes,Citizen,3,Common-Law,0,Rent,Yes,2026-03-13
CLT-000042,45-54,Male,M8J,Northern,2,<$20K,Employed FT,High School,French,No,Yes,PR,2,Widowed,5,Rent,Limited,2026-07-07
CLT-000043,18-24,Prefer Not to Say,P1X,Niagara,2,$60-80K,On Leave,Less than HS,French,Prefer Not to Say,Yes,Refugee,15,Divorced,4,Own,No,2026-07-11
CLT-000044,55-64,Non-Binary,T7N,Hamilton,2,<$20K,Employed FT,Less than HS,Bilingual,Yes,Yes,Work Permit,44,Single,0,Shelter,Yes,2026-04-27
CLT-000045,18-24,Prefer Not to Say,K4R,Central,7,<$20K,On Leave,Doctorate,Bilingual,Yes,Yes,PR,29,Single,4,Social Housing,Yes,2026-07-15
CLT-000046,18-24,Male,P4Z,Southwestern,3,$40-60K,Unemployed,Bachelor,Other,Yes,No,Work Permit,21,Divorced,0,Other,Yes,2026-04-27
CLT-000047,45-54,Prefer Not to Say,M3O,Hamilton,6,>$100K,On Leave,Less than HS,Other,Yes,No,PR,37,Common-Law,3,Own,Yes,2026-07-09
CLT-000048,45-54,Prefer Not to Say,N8H,GTA,3,$40-60K,Student,High School,Other,Yes,Yes,Other,33,Divorced,5,Social Housing,Yes,2026-02-12
CLT-000049,65+,Female,K4V,Niagara,1,$40-60K,Unemployed,Bachelor,Other,Yes,No,Refugee,13,Married,0,Social Housing,Limited,2026-01-29
CLT-000050,18-24,Prefer Not to Say,N1V,Southwestern,2,>$100K,Self-Employed,Less than HS,Bilingual,Yes,No,Other,14,Single,4,Shelter,Limited,2026-07-08
CLT-000051,45-54,Female,N4P,GTA,7,$40-60K,Student,College,Other,Prefer Not to Say,No,Other,32,Divorced,0,Rent,No,2026-05-22
CLT-000052,55-64,Female,M0I,Durham,2,$60-80K,Self-Employed,Master,French,No,Yes,Citizen,48,Common-Law,4,Rent,Limited,2026-02-07
CLT-000053,65+,Male,T2P,GTA,4,$40-60K,Retired,High School,Bilingual,Yes,Yes,Work Permit,3,Divorced,5,Rent,Limited,2026-01-25
CLT-000054,18-24,Prefer Not to Say,K2Q,Northern,3,$60-80K,Employed FT,Master,French,Yes,Yes,Other,7,Divorced,5,Other,No,2026-06-16
CLT-000055,18-24,Prefer Not to Say,L7Q,Waterloo,6,>$100K,Retired,Doctorate,Bilingual,Prefer Not to Say,No,Work Permit,37,Widowed,3,Other,Limited,2026-01-15
CLT-000056,35-44,Female,K1P,Ottawa,1,$40-60K,Retired,Bachelor,Bilingual,No,No,Other,47,Single,4,Other,Limited,2026-06-19
CLT-000057,18-24,Male,N1P,Eastern,6,>$100K,On Leave,Doctorate,Bilingual,No,Yes,Citizen,26,Married,0,Rent,Limited,2026-04-29
CLT-000058,35-44,Non-Binary,N2X,Niagara,1,$60-80K,Retired,College,Other,Yes,No,Other,32,Single,0,Other,Yes,2026-05-15
CLT-000059,65+,Male,N8F,GTA,1,$20-40K,Self-Employed,Less than HS,Other,Yes,No,Refugee,22,Married,5,Rent,Yes,2026-04-10
CLT-000060,25-34,Female,N1Z,Eastern,1,$60-80K,Retired,Master,Bilingual,No,Yes,Citizen,19,Widowed,0,Rent,No,2026-06-22
CLT-000061,25-34,Non-Binary,T4L,Durham,7,$40-60K,Retired,High School,Bilingual,Prefer Not to Say,No,PR,43,Widowed,4,Other,Yes,2026-02-09
CLT-000062,45-54,Non-Binary,T3T,Northern,2,$40-60K,On Leave,College,English,No,No,Citizen,38,Married,2,Other,Yes,2026-06-11
CLT-000063,65+,Non-Binary,N6F,Ottawa,7,>$100K,Employed PT,Doctorate,French,No,Yes,Citizen,44,Widowed,3,Rent,Limited,2026-06-03
CLT-000064,35-44,Non-Binary,L1G,Durham,3,$40-60K,Employed PT,Less than HS,Bilingual,No,Yes,Citizen,38,Married,0,Shelter,Limited,2026-04-13
CLT-000065,55-64,Non-Binary,P0U,Waterloo,4,>$100K,Self-Employed,College,Bilingual,Prefer Not to Say,No,PR,40,Common-Law,5,Own,Limited,2026-07-11
CLT-000066,55-64,Female,T1O,Hamilton,6,$20-40K,Unemployed,Doctorate,English,No,No,Other,4,Single,1,Rent,Limited,2026-05-01
CLT-000067,25-34,Prefer Not to Say,N0P,Northern,1,$60-80K,Self-Employed,High School,Bilingual,Yes,Yes,Work Permit,8,Married,5,Rent,Limited,2026-03-11
CLT-000068,18-24,Female,M6V,Eastern,2,>$100K,Employed PT,Bachelor,Bilingual,No,Yes,Citizen,34,Single,5,Social Housing,No,2026-03-10
CLT-000069,25-34,Non-Binary,P4E,GTA,2,>$100K,Unemployed,High School,Bilingual,Yes,No,Refugee,26,Common-Law,5,Own,Yes,2026-06-21
CLT-000070,65+,Prefer Not to Say,T1K,Niagara,3,<$20K,Retired,Master,Bilingual,Yes,No,Refugee,22,Married,4,Other,Limited,2026-06-30
CLT-000071,18-24,Female,N0K,Southwestern,7,>$100K,Employed PT,College,Bilingual,Yes,Yes,Other,11,Divorced,0,Own,Yes,2026-06-14
CLT-000072,25-34,Non-Binary,N5T,Southwestern,2,>$100K,Retired,Master,French,Yes,Yes,PR,30,Divorced,5,Shelter,No,2026-05-30
CLT-000073,65+,Prefer Not to Say,P2Y,Northern,5,$40-60K,Employed PT,High School,Other,Yes,No,Citizen,4,Widowed,1,Other,Limited,2026-01-05
CLT-000074,55-64,Female,L2I,Northern,3,<$20K,Student,Bachelor,French,Prefer Not to Say,Yes,Work Permit,26,Married,1,Social Housing,Limited,2026-05-13
CLT-000075,55-64,Female,K4G,Hamilton,3,<$20K,Self-Employed,Master,Other,No,No,Citizen,32,Divorced,2,Social Housing,Yes,2026-03-14
CLT-000076,25-34,Female,N9E,Durham,3,$40-60K,Employed FT,Bachelor,Bilingual,Yes,No,Citizen,36,Common-Law,1,Other,Limited,2026-05-14
CLT-000077,55-64,Non-Binary,P4P,GTA,2,$80-100K,Student,Master,Other,No,No,PR,20,Widowed,0,Shelter,No,2026-03-26
CLT-000078,18-24,Non-Binary,N1Z,Durham,5,$20-40K,Employed FT,Less than HS,Bilingual,No,Yes,Other,32,Divorced,1,Social Housing,No,2026-07-09
CLT-000079,65+,Prefer Not to Say,T6Q,Niagara,4,$60-80K,Retired,Master,Bilingual,No,Yes,Refugee,44,Single,3,Own,No,2026-05-30
CLT-000080,18-24,Male,L9O,Ottawa,1,<$20K,On Leave,High School,Bilingual,Prefer Not to Say,No,Citizen,21,Divorced,3,Social Housing,No,2026-04-21
CLT-000081,65+,Non-Binary,M5C,Durham,6,$80-100K,Student,Less than HS,English,No,No,Work Permit,16,Widowed,5,Rent,Yes,2026-03-14
CLT-000082,65+,Female,L9U,Niagara,5,$80-100K,Unemployed,Less than HS,Bilingual,No,Yes,Work Permit,50,Divorced,3,Other,Yes,2026-05-05
CLT-000083,35-44,Non-Binary,M2W,Southwestern,2,$80-100K,Student,Less than HS,Other,Prefer Not to Say,Yes,Work Permit,28,Single,2,Own,Yes,2026-03-26
CLT-000084,18-24,Female,P5W,Hamilton,4,>$100K,Employed PT,Bachelor,Bilingual,Prefer Not to Say,Yes,Refugee,48,Married,4,Social Housing,Limited,2026-03-04
CLT-000085,65+,Prefer Not to Say,P0V,Niagara,2,$40-60K,Retired,College,French,Yes,Yes,Citizen,49,Single,1,Shelter,Limited,2026-05-28
CLT-000086,45-54,Non-Binary,M9U,Eastern,1,$40-60K,Self-Employed,Master,Bilingual,Yes,No,Refugee,22,Widowed,3,Shelter,Yes,2026-02-25
CLT-000087,45-54,Non-Binary,N2B,Eastern,6,$60-80K,Employed PT,College,Bilingual,Prefer Not to Say,No,PR,40,Widowed,2,Shelter,Limited,2026-07-19
CLT-000088,55-64,Prefer Not to Say,T3H,Ottawa,5,<$20K,Self-Employed,High School,French,Yes,No,Refugee,43,Divorced,0,Shelter,Limited,2026-07-10
CLT-000089,18-24,Prefer Not to Say,K1O,Southwestern,3,$40-60K,Student,Bachelor,Other,Yes,No,PR,24,Married,3,Shelter,Limited,2026-03-22
CLT-000090,65+,Male,P9R,Waterloo,4,$60-80K,Unemployed,Bachelor,Bilingual,Prefer Not to Say,No,Work Permit,41,Married,2,Other,Limited,2026-03-27
CLT-000091,25-34,Non-Binary,K7X,Hamilton,7,$40-60K,On Leave,Less than HS,French,No,No,Refugee,26,Widowed,3,Social Housing,Yes,2026-03-09
CLT-000092,25-34,Male,N6O,Central,1,$40-60K,Retired,Bachelor,Bilingual,Yes,No,Citizen,4,Common-Law,3,Rent,Limited,2026-07-18
CLT-000093,25-34,Male,P9B,GTA,6,>$100K,Employed FT,Master,Bilingual,Prefer Not to Say,Yes,Refugee,23,Divorced,2,Other,Yes,2026-03-03
CLT-000094,65+,Non-Binary,T4K,Eastern,5,$40-60K,Self-Employed,Doctorate,Other,No,Yes,Work Permit,11,Married,5,Rent,No,2026-04-21
CLT-000095,18-24,Male,M4O,GTA,7,$80-100K,Self-Employed,Less than HS,English,Yes,Yes,Work Permit,37,Common-Law,3,Own,Yes,2026-06-03
CLT-000096,65+,Prefer Not to Say,L1C,Durham,1,>$100K,Unemployed,Master,French,Prefer Not to Say,No,Work Permit,25,Divorced,0,Social Housing,Limited,2026-03-20
CLT-000097,45-54,Prefer Not to Say,N1Q,Niagara,5,$60-80K,Self-Employed,Less than HS,Bilingual,Prefer Not to Say,No,Other,26,Divorced,5,Shelter,Limited,2026-02-07
CLT-000098,65+,Male,T5W,Northern,3,$60-80K,Unemployed,Master,Bilingual,Yes,Yes,Work Permit,45,Married,5,Rent,Limited,2026-03-01
CLT-000099,18-24,Female,P2P,Niagara,3,<$20K,Unemployed,College,Other,Prefer Not to Say,Yes,Other,34,Divorced,1,Rent,Yes,2026-03-06
CLT-000100,18-24,Non-Binary,M3C,Durham,4,$60-80K,Employed FT,College,Other,No,No,PR,13,Widowed,4,Own,No,2026-04-27
CLT-000101,65+,Non-Binary,K4O,Southwestern,7,$40-60K,On Leave,High School,English,Yes,No,Other,16,Common-Law,0,Own,Limited,2026-06-22
CLT-000102,25-34,Female,P7U,Eastern,7,$40-60K,Employed FT,Master,Other,No,No,Refugee,30,Common-Law,0,Rent,Yes,2026-02-22
CLT-000103,35-44,Male,P3A,Northern,3,$80-100K,Unemployed,High School,Bilingual,No,No,Other,5,Common-Law,1,Other,Limited,2026-07-18
CLT-000104,55-64,Non-Binary,T2W,Ottawa,4,$80-100K,Retired,College,Bilingual,Prefer Not to Say,Yes,Other,33,Common-Law,5,Own,Yes,2026-05-22
CLT-000105,45-54,Non-Binary,L8D,Niagara,4,$40-60K,On Leave,Master,French,Yes,Yes,Citizen,37,Married,2,Other,Limited,2026-01-24
CLT-000106,55-64,Male,T0G,Durham,1,$40-60K,On Leave,Bachelor,French,No,Yes,Other,11,Common-Law,1,Own,Limited,2026-06-05
CLT-000107,35-44,Prefer Not to Say,T3Y,GTA,7,$80-100K,Self-Employed,Less than HS,French,Yes,No,PR,30,Married,2,Own,Yes,2026-03-17
CLT-000108,65+,Prefer Not to Say,M3H,Ottawa,3,>$100K,Unemployed,College,French,Yes,Yes,Work Permit,14,Single,1,Own,No,2026-03-17
CLT-000109,18-24,Prefer Not to Say,N8C,Ottawa,1,$80-100K,Self-Employed,Bachelor,Bilingual,Prefer Not to Say,No,Work Permit,20,Divorced,3,Shelter,Yes,2026-07-11
CLT-000110,35-44,Non-Binary,L1Z,Durham,6,$20-40K,Retired,Master,English,Yes,No,Other,38,Common-Law,2,Rent,Yes,2026-04-17
CLT-000111,35-44,Male,P1A,Niagara,1,>$100K,Self-Employed,Bachelor,Other,Prefer Not to Say,Yes,Citizen,3,Widowed,5,Rent,Yes,2026-06-20
CLT-000112,35-44,Female,T1M,Durham,2,$60-80K,On Leave,Master,French,Yes,Yes,Refugee,22,Divorced,1,Shelter,Limited,2026-05-26
CLT-000113,45-54,Female,M8G,Southwestern,4,$80-100K,On Leave,Doctorate,English,Prefer Not to Say,Yes,Citizen,22,Widowed,1,Rent,Limited,2026-07-24
CLT-000114,65+,Non-Binary,N2Y,Northern,5,>$100K,Student,Less than HS,French,Yes,Yes,Citizen,2,Divorced,2,Other,No,2026-06-07
CLT-000115,45-54,Female,L3R,Hamilton,1,$20-40K,Retired,College,English,No,No,PR,45,Single,2,Other,Limited,2026-01-06
CLT-000116,65+,Female,T8M,GTA,7,$60-80K,Employed FT,College,English,Yes,Yes,Work Permit,0,Divorced,2,Social Housing,No,2026-03-09
CLT-000117,45-54,Prefer Not to Say,T9K,GTA,6,$80-100K,Employed FT,College,English,Prefer Not to Say,No,Refugee,25,Common-Law,1,Own,Yes,2026-04-10
CLT-000118,35-44,Non-Binary,N2H,Durham,5,$60-80K,Retired,Master,Other,Prefer Not to Say,No,Work Permit,27,Widowed,4,Rent,Yes,2026-02-22
CLT-000119,45-54,Male,N2E,Waterloo,1,<$20K,Employed FT,Doctorate,French,Prefer Not to Say,No,Citizen,17,Divorced,4,Social Housing,Limited,2026-07-12
CLT-000120,45-54,Male,P9A,Eastern,5,<$20K,Employed PT,College,English,Prefer Not to Say,No,Other,37,Common-Law,5,Rent,Limited,2026-02-13
CLT-000121,65+,Non-Binary,L1S,Ottawa,3,$60-80K,On Leave,Master,English,No,Yes,Work Permit,28,Married,4,Rent,Limited,2026-04-02
CLT-000122,18-24,Prefer Not to Say,N3U,GTA,7,$80-100K,Unemployed,Doctorate,French,Yes,No,Refugee,0,Widowed,2,Other,Limited,2026-04-14
CLT-000123,65+,Prefer Not to Say,L6W,Northern,5,$20-40K,Unemployed,Doctorate,French,Yes,Yes,Other,0,Single,4,Rent,Yes,2026-03-04
CLT-000124,35-44,Female,M6Q,Durham,3,$60-80K,Retired,Doctorate,Bilingual,Prefer Not to Say,No,Refugee,26,Divorced,4,Own,Limited,2026-04-13
CLT-000125,35-44,Non-Binary,P3P,Southwestern,6,$40-60K,Retired,College,Other,No,Yes,Citizen,14,Common-Law,5,Rent,Yes,2026-05-03
CLT-000126,35-44,Non-Binary,T5T,Northern,5,>$100K,Retired,Bachelor,Bilingual,Prefer Not to Say,No,Work Permit,5,Single,5,Social Housing,Limited,2026-04-09
CLT-000127,65+,Female,N7K,Ottawa,7,>$100K,Self-Employed,Less than HS,Other,No,No,Work Permit,14,Common-Law,4,Shelter,No,2026-07-21
CLT-000128,35-44,Male,L6J,Ottawa,5,$60-80K,Student,Master,Other,Yes,Yes,Citizen,36,Married,2,Other,Yes,2026-01-16
CLT-000129,18-24,Prefer Not to Say,K0C,Central,5,$60-80K,Self-Employed,Doctorate,French,Yes,No,PR,8,Widowed,2,Other,Limited,2026-02-25
CLT-000130,35-44,Female,N6N,Durham,1,$80-100K,Self-Employed,Master,Bilingual,No,Yes,Citizen,40,Widowed,0,Social Housing,Yes,2026-07-23
CLT-000131,25-34,Female,L8A,Ottawa,7,$40-60K,On Leave,High School,Other,Prefer Not to Say,Yes,Work Permit,50,Widowed,3,Shelter,Limited,2026-05-05
CLT-000132,18-24,Non-Binary,L4I,Niagara,1,$40-60K,Employed PT,Master,French,No,Yes,Other,27,Divorced,2,Shelter,Limited,2026-06-29
CLT-000133,25-34,Prefer Not to Say,K0U,Central,6,$20-40K,Student,Doctorate,Bilingual,Prefer Not to Say,Yes,Citizen,38,Married,5,Other,No,2026-04-15
CLT-000134,45-54,Female,P5X,GTA,2,<$20K,Unemployed,College,French,Prefer Not to Say,Yes,Citizen,43,Divorced,3,Social Housing,No,2026-05-21
CLT-000135,25-34,Male,K6F,Niagara,3,$20-40K,Retired,College,Other,No,No,Work Permit,47,Divorced,0,Shelter,Limited,2026-06-06
CLT-000136,18-24,Prefer Not to Say,L1V,Waterloo,6,$80-100K,Employed FT,Master,English,No,No,Work Permit,23,Single,1,Other,Limited,2026-06-26
CLT-000137,35-44,Non-Binary,M4T,Northern,3,$20-40K,Self-Employed,Less than HS,Other,No,Yes,Other,48,Married,4,Social Housing,Limited,2026-05-27
CLT-000138,45-54,Non-Binary,N7N,Central,4,$40-60K,Retired,Less than HS,Other,Yes,No,Work Permit,19,Widowed,2,Rent,Limited,2026-03-20
CLT-000139,25-34,Prefer Not to Say,P7V,Hamilton,1,$40-60K,On Leave,Bachelor,French,Yes,Yes,Other,17,Widowed,0,Shelter,No,2026-06-27
CLT-000140,25-34,Non-Binary,M5G,Central,5,$60-80K,Student,Less than HS,English,Prefer Not to Say,Yes,Citizen,7,Common-Law,5,Social Housing,No,2026-04-27
CLT-000141,25-34,Non-Binary,P4H,Ottawa,7,>$100K,Unemployed,Doctorate,Other,Yes,Yes,Work Permit,23,Divorced,4,Social Housing,No,2026-03-07
CLT-000142,18-24,Female,L4U,Hamilton,3,<$20K,Student,Master,Bilingual,Prefer Not to Say,No,Refugee,13,Widowed,5,Social Housing,Yes,2026-03-02
CLT-000143,25-34,Non-Binary,L5R,GTA,7,>$100K,Self-Employed,Master,Bilingual,No,No,Refugee,23,Widowed,0,Shelter,No,2026-01-12
CLT-000144,25-34,Non-Binary,T1Y,Eastern,4,$20-40K,Employed PT,High School,Bilingual,No,Yes,Work Permit,1,Divorced,0,Social Housing,No,2026-07-26
CLT-000145,55-64,Prefer Not to Say,T1I,Hamilton,6,$80-100K,Student,Doctorate,French,No,Yes,Other,22,Common-Law,4,Social Housing,Yes,2026-05-13
CLT-000146,65+,Female,N4L,Niagara,1,<$20K,Student,Less than HS,French,Prefer Not to Say,No,Citizen,1,Single,3,Social Housing,Limited,2026-06-23
CLT-000147,18-24,Male,M7X,GTA,4,$60-80K,Retired,Doctorate,Bilingual,Prefer Not to Say,Yes,Refugee,34,Divorced,5,Other,Yes,2026-05-16
CLT-000148,35-44,Non-Binary,T1M,Northern,1,>$100K,On Leave,College,French,Prefer Not to Say,No,Refugee,25,Married,2,Rent,No,2026-05-05
CLT-000149,25-34,Non-Binary,T5W,Durham,5,$60-80K,Employed FT,Bachelor,English,No,Yes,PR,34,Widowed,1,Social Housing,Yes,2026-02-24
CLT-000150,25-34,Non-Binary,M3T,GTA,1,$40-60K,Employed PT,Less than HS,Other,No,Yes,Refugee,40,Common-Law,4,Rent,No,2026-04-14
CLT-000151,65+,Female,L7W,Waterloo,4,$60-80K,On Leave,Less than HS,Bilingual,Prefer Not to Say,Yes,PR,45,Single,5,Own,No,2026-06-22
CLT-000152,65+,Female,L6L,Durham,7,$20-40K,Student,Less than HS,French,No,Yes,Refugee,15,Divorced,4,Social Housing,Limited,2026-07-19
CLT-000153,18-24,Female,P8M,Niagara,5,<$20K,Employed FT,High School,French,Yes,Yes,Citizen,16,Married,2,Rent,No,2026-01-22
CLT-000154,18-24,Prefer Not to Say,T8S,Northern,7,$40-60K,On Leave,Master,Bilingual,No,No,Refugee,16,Common-Law,3,Social Housing,Limited,2026-02-24
CLT-000155,25-34,Non-Binary,T5I,Southwestern,1,<$20K,Retired,Less than HS,Bilingual,Yes,Yes,Refugee,28,Married,4,Own,Limited,2026-03-28
CLT-000156,25-34,Male,K8U,Durham,1,>$100K,Retired,High School,Other,Prefer Not to Say,No,Other,19,Single,4,Social Housing,No,2026-01-21
CLT-000157,35-44,Prefer Not to Say,T2F,GTA,1,$40-60K,Self-Employed,Master,French,Yes,Yes,Work Permit,17,Single,0,Own,Yes,2026-04-24
CLT-000158,25-34,Female,N0G,GTA,5,$60-80K,On Leave,Bachelor,Bilingual,No,No,Citizen,46,Widowed,0,Shelter,Limited,2026-06-20
CLT-000159,45-54,Prefer Not to Say,M8H,Hamilton,4,$20-40K,Self-Employed,Master,Bilingual,Yes,No,Refugee,41,Divorced,5,Own,Limited,2026-04-17
CLT-000160,25-34,Male,N2B,Southwestern,5,$80-100K,On Leave,Master,Other,Prefer Not to Say,Yes,Work Permit,6,Widowed,3,Other,Yes,2026-01-12
CLT-000161,25-34,Female,N4U,Central,7,$60-80K,Unemployed,Master,Other,No,No,Citizen,37,Widowed,0,Shelter,Yes,2026-03-24
CLT-000162,65+,Female,P0M,Southwestern,7,$80-100K,Employed FT,Master,Other,Prefer Not to Say,Yes,PR,19,Married,2,Own,Limited,2026-06-02
CLT-000163,45-54,Male,M8C,Central,5,$80-100K,Employed FT,High School,Other,Prefer Not to Say,Yes,Other,25,Divorced,0,Shelter,No,2026-02-14
CLT-000164,18-24,Non-Binary,K1T,Eastern,6,$60-80K,Self-Employed,High School,Bilingual,Yes,No,Citizen,8,Married,0,Shelter,Limited,2026-07-08
