PARTICIPANT_ID,AGE,GENDER,REGION,EDUCATION_LEVEL,PRIOR_EMPLOYMENT_MONTHS,TRAINING_PROGRAM,TRAINING_HOURS,CERTIFICATION_EARNED,EMPLOYMENT_OUTCOME,SALARY_POST_TRAINING,INDUSTRY_PLACED,TIME_TO_EMPLOYMENT_DAYS,RETENTION_6_MONTH,SKILL_MATCH_SCORE,FEATURE_IMPORTANCE_RANK,IS_TRAINING_SUITABLE,UPDATE_FREQUENCY,LAST_UPDATED
PRT-000019,42,F,Southwestern,Bachelor,191,IT Security,145,Yes,Further Training,81261,Retail,133,Yes,0.97,3,Yes,Weekly,2026-03-17
PRT-000020,56,X,Central,Less than HS,12,Healthcare Aide,185,Yes,Unemployed,109584,Manufacturing,39,Yes,0.69,1,Yes,Monthly,2026-05-12
PRT-000021,63,M,Central,Less than HS,183,Data Analytics,285,No,Self-Employed,46069,Government,96,Yes,0.64,18,Yes,Monthly,2026-07-15
PRT-000022,61,X,Waterloo,Bachelor,32,IT Security,260,Yes,Employed FT,110246,Finance,139,Yes,0.86,13,Yes,Monthly,2026-07-05
PRT-000023,32,M,Central,High School,84,Healthcare Aide,319,Yes,Employed FT,105396,Healthcare,118,No,0.63,2,No,Monthly,2026-06-12
PRT-000024,60,X,Eastern,High School,219,Healthcare Aide,658,No,Unemployed,62383,Finance,51,No,0.93,7,No,Weekly,2026-02-09
PRT-000025,30,F,Niagara,College,146,Data Analytics,661,Yes,Further Training,75102,Finance,153,No,0.95,3,Yes,Monthly,2026-07-13
PRT-000026,34,F,Central,Bachelor,195,Digital Skills,265,Yes,Unemployed,75147,Government,82,Yes,0.91,17,Yes,Weekly,2026-04-15
PRT-000027,21,X,Niagara,High School,15,IT Security,139,Yes,Further Training,77822,Finance,18,No,0.97,15,Yes,Weekly,2026-05-10
PRT-000028,49,X,Southwestern,High School,52,Advanced Manufacturing,383,No,Employed FT,82534,Retail,18,No,0.51,9,No,Weekly,2026-02-21
PRT-000029,23,X,Ottawa,Less than HS,86,Digital Skills,230,No,Employed PT,44625,Retail,25,No,0.64,10,Yes,Weekly,2026-03-06
PRT-000030,47,M,Ottawa,Master,162,IT Security,463,No,Self-Employed,89409,Technology,88,No,0.86,15,Yes,Monthly,2026-07-13
PRT-000031,41,M,GTA,College,97,IT Security,766,Yes,Employed PT,69645,Finance,51,No,0.76,14,No,Weekly,2026-05-31
PRT-000032,40,M,Durham,Less than HS,36,Data Analytics,330,No,Employed FT,51930,Construction,172,No,0.57,13,Yes,Monthly,2026-06-15
PRT-000033,43,X,Waterloo,College,74,Healthcare Aide,209,Yes,Self-Employed,106306,Government,101,Yes,0.57,15,No,Monthly,2026-03-08
PRT-000034,21,X,Durham,College,202,Digital Skills,388,No,Self-Employed,83732,Finance,101,Yes,0.77,1,Yes,Monthly,2026-04-11
PRT-000035,50,X,Durham,Master,139,Green Energy,542,Yes,Employed PT,102192,Finance,18,Yes,0.66,8,Yes,Monthly,2026-01-09
PRT-000036,50,X,Durham,Bachelor,101,IT Security,122,Yes,Self-Employed,68533,Healthcare,69,Yes,0.44,3,Yes,Monthly,2026-07-09
PRT-000037,42,M,Hamilton,College,48,Healthcare Aide,587,Yes,Self-Employed,89272,Manufacturing,146,No,0.54,11,Yes,Weekly,2026-06-01
PRT-000038,54,F,Central,Bachelor,186,IT Security,446,Yes,Employed FT,40532,Construction,127,No,0.87,8,Yes,Weekly,2026-01-21
PRT-000039,33,X,GTA,High School,159,Digital Skills,744,No,Unemployed,83733,Healthcare,85,No,0.71,6,Yes,Monthly,2026-03-02
PRT-000040,58,X,Ottawa,High School,198,Healthcare Aide,753,No,Further Training,38644,Construction,9,No,0.67,14,No,Weekly,2026-04-08
PRT-000041,48,M,Hamilton,College,86,Digital Skills,719,Yes,Employed FT,78456,Construction,33,Yes,0.81,1,Yes,Weekly,2026-02-22
PRT-000042,54,X,Southwestern,Bachelor,163,Digital Skills,367,No,Employed PT,118590,Government,157,No,0.93,1,Yes,Weekly,2026-02-05
PRT-000043,39,F,Eastern,Master,98,Healthcare Aide,411,Yes,Further Training,75279,Technology,164,No,0.62,9,Yes,Weekly,2026-04-20
PRT-000044,36,X,Hamilton,Master,159,Healthcare Aide,275,No,Self-Employed,56941,Government,10,Yes,0.56,13,No,Weekly,2026-06-26
PRT-000045,48,F,Niagara,High School,75,Data Analytics,136,Yes,Self-Employed,57336,Finance,13,No,0.72,14,No,Weekly,2026-02-07
PRT-000046,24,M,Hamilton,College,119,IT Security,301,Yes,Employed FT,32167,Technology,10,Yes,0.68,8,Yes,Monthly,2026-01-08
PRT-000047,57,M,Waterloo,Bachelor,85,Skilled Trades,683,No,Further Training,41026,Healthcare,59,Yes,0.48,16,No,Monthly,2026-05-14
PRT-000048,22,F,GTA,Less than HS,127,Healthcare Aide,718,Yes,Further Training,88063,Construction,114,Yes,0.93,15,Yes,Monthly,2026-06-29
PRT-000049,42,F,Northern,College,3,Green Energy,565,No,Employed PT,48551,Retail,60,Yes,0.82,14,Yes,Monthly,2026-04-03
PRT-000050,22,M,Ottawa,Bachelor,102,Digital Skills,443,No,Unemployed,100520,Government,161,No,0.48,2,Yes,Weekly,2026-04-12
PRT-000051,44,M,Durham,Less than HS,67,Skilled Trades,623,No,Self-Employed,93378,Technology,54,Yes,0.74,1,Yes,Weekly,2026-07-10
PRT-000052,46,F,Durham,High School,63,Digital Skills,631,Yes,Further Training,116804,Retail,106,Yes,0.67,11,Yes,Weekly,2026-01-31
PRT-000053,52,M,Ottawa,Less than HS,204,Green Energy,410,No,Unemployed,80683,Healthcare,25,No,0.86,12,Yes,Weekly,2026-03-22
PRT-000054,41,M,Waterloo,Less than HS,110,IT Security,672,Yes,Further Training,40975,Healthcare,167,Yes,0.59,3,Yes,Weekly,2026-06-03
PRT-000055,23,M,Hamilton,High School,212,Data Analytics,709,No,Self-Employed,39499,Manufacturing,9,No,0.41,10,Yes,Weekly,2026-07-18
PRT-000056,61,F,Waterloo,College,43,Healthcare Aide,632,No,Self-Employed,67570,Technology,178,No,0.67,11,No,Weekly,2026-03-13
PRT-000057,52,F,Central,Master,109,Green Energy,617,Yes,Unemployed,39346,Healthcare,138,No,0.73,6,Yes,Monthly,2026-06-21
PRT-000058,32,X,Central,High School,8,Advanced Manufacturing,455,Yes,Further Training,55652,Healthcare,148,No,0.89,4,No,Monthly,2026-07-19
PRT-000059,40,M,Northern,Master,188,Skilled Trades,673,No,Employed PT,33220,Healthcare,50,Yes,0.96,1,No,Weekly,2026-01-10
PRT-000060,18,X,GTA,Less than HS,124,IT Security,158,No,Employed FT,55915,Construction,162,No,0.61,18,Yes,Weekly,2026-04-10
PRT-000061,19,X,Southwestern,High School,111,Data Analytics,432,No,Further Training,39330,Finance,123,Yes,0.71,10,Yes,Weekly,2026-02-14
PRT-000062,59,X,Waterloo,High School,63,Data Analytics,350,Yes,Self-Employed,119177,Government,175,Yes,0.4,9,Yes,Weekly,2026-05-19
PRT-000063,47,F,Ottawa,Bachelor,198,IT Security,345,No,Further Training,33594,Technology,87,Yes,0.88,7,Yes,Monthly,2026-02-02
PRT-000064,46,F,Niagara,Less than HS,76,Skilled Trades,191,No,Further Training,94256,Construction,117,Yes,0.44,2,Yes,Monthly,2026-04-28
PRT-000065,44,F,GTA,Bachelor,234,Green Energy,361,No,Employed FT,53099,Finance,146,Yes,0.84,4,Yes,Monthly,2026-01-28
PRT-000066,30,M,Hamilton,Master,72,IT Security,566,No,Self-Employed,43988,Manufacturing,122,Yes,0.49,18,No,Monthly,2026-07-04
PRT-000067,49,F,Niagara,Less than HS,142,IT Security,44,No,Further Training,60793,Finance,89,No,0.59,5,Yes,Monthly,2026-02-06
PRT-000068,59,F,Central,Master,9,IT Security,623,No,Self-Employed,115976,Healthcare,171,Yes,0.49,6,No,Monthly,2026-02-02
PRT-000069,46,F,Central,High School,21,Healthcare Aide,122,Yes,Unemployed,81781,Retail,66,No,0.9,16,Yes,Weekly,2026-05-04
PRT-000070,42,F,Southwestern,High School,207,Digital Skills,456,No,Employed PT,49998,Manufacturing,37,Yes,0.7,12,No,Monthly,2026-04-15
PRT-000071,40,F,GTA,Less than HS,213,Advanced Manufacturing,444,Yes,Employed FT,72562,Healthcare,159,Yes,0.34,6,No,Monthly,2026-03-01
PRT-000072,50,F,Ottawa,Bachelor,169,Data Analytics,624,Yes,Further Training,44895,Government,89,Yes,0.81,12,Yes,Weekly,2026-04-05
PRT-000073,18,X,Hamilton,Less than HS,117,Healthcare Aide,666,Yes,Unemployed,90862,Technology,123,Yes,0.4,9,Yes,Weekly,2026-05-20
PRT-000074,33,F,Waterloo,College,152,Advanced Manufacturing,549,Yes,Unemployed,65160,Retail,7,No,0.32,17,Yes,Monthly,2026-04-10
PRT-000075,57,X,Ottawa,Bachelor,181,IT Security,169,Yes,Further Training,95007,Technology,146,Yes,0.84,6,No,Monthly,2026-02-22
PRT-000076,34,X,Durham,Bachelor,38,Green Energy,473,Yes,Self-Employed,103491,Manufacturing,147,No,0.99,1,Yes,Monthly,2026-06-09
PRT-000077,64,M,GTA,High School,56,Digital Skills,662,No,Unemployed,108959,Healthcare,127,Yes,0.57,14,No,Weekly,2026-01-01
PRT-000078,63,M,Ottawa,Less than HS,202,Healthcare Aide,353,No,Self-Employed,44523,Healthcare,110,Yes,0.85,9,Yes,Weekly,2026-04-10
PRT-000079,23,X,Waterloo,College,197,Digital Skills,481,Yes,Employed FT,116064,Government,132,No,0.84,5,Yes,Monthly,2026-01-07
PRT-000080,56,X,Durham,Bachelor,87,Data Analytics,600,No,Employed PT,48402,Manufacturing,75,No,0.85,14,Yes,Weekly,2026-01-03
PRT-000081,34,F,GTA,College,43,Data Analytics,657,No,Employed PT,111561,Finance,51,Yes,0.35,12,Yes,Weekly,2026-01-27
PRT-000082,25,X,Hamilton,Master,169,Data Analytics,475,No,Self-Employed,76680,Manufacturing,20,No,0.81,13,Yes,Weekly,2026-04-25
PRT-000083,33,M,Southwestern,Master,216,Digital Skills,75,No,Employed PT,63270,Manufacturing,130,No,0.98,17,Yes,Monthly,2026-07-25
PRT-000084,56,M,Central,Bachelor,91,Advanced Manufacturing,510,Yes,Employed FT,99924,Government,109,No,0.6,7,Yes,Weekly,2026-02-05
PRT-000085,40,M,Southwestern,Bachelor,150,Data Analytics,634,No,Unemployed,116576,Finance,124,Yes,0.78,16,Yes,Weekly,2026-03-15
PRT-000086,35,F,Central,Bachelor,36,Advanced Manufacturing,662,Yes,Employed FT,81443,Construction,132,No,0.72,6,Yes,Monthly,2026-06-19
PRT-000087,27,X,Central,Bachelor,115,Data Analytics,397,Yes,Employed PT,114441,Construction,63,No,0.39,17,Yes,Monthly,2026-01-04
PRT-000088,46,X,Central,High School,175,Healthcare Aide,279,Yes,Unemployed,116381,Technology,102,Yes,0.81,12,No,Weekly,2026-01-17
PRT-000089,30,M,Northern,College,153,Digital Skills,409,No,Self-Employed,51040,Government,22,Yes,0.42,14,Yes,Monthly,2026-04-23
PRT-000090,30,F,GTA,Bachelor,128,IT Security,496,Yes,Unemployed,37409,Healthcare,134,No,0.95,18,No,Weekly,2026-02-13
PRT-000091,53,X,Eastern,High School,17,Advanced Manufacturing,530,No,Further Training,86961,Healthcare,157,No,0.36,16,Yes,Weekly,2026-02-12
PRT-000092,52,X,Eastern,Less than HS,39,Healthcare Aide,398,No,Employed PT,50704,Manufacturing,55,Yes,0.59,13,Yes,Monthly,2026-05-19
PRT-000093,41,F,Southwestern,Less than HS,226,IT Security,624,No,Further Training,104695,Government,75,Yes,0.88,3,No,Weekly,2026-01-10
PRT-000094,35,X,Niagara,High School,79,IT Security,653,No,Self-Employed,36165,Technology,125,Yes,0.38,11,Yes,Weekly,2026-02-07
PRT-000095,21,F,Waterloo,Master,236,Healthcare Aide,476,No,Employed FT,37453,Construction,18,No,0.84,2,Yes,Weekly,2026-02-13
PRT-000096,27,X,Central,High School,76,Skilled Trades,252,Yes,Further Training,51900,Technology,128,Yes,0.49,4,No,Weekly,2026-07-29
PRT-000097,33,X,Ottawa,High School,53,Advanced Manufacturing,662,No,Unemployed,107900,Government,38,No,0.32,4,Yes,Monthly,2026-05-22
PRT-000098,19,F,Waterloo,Bachelor,194,Digital Skills,726,Yes,Self-Employed,107158,Government,65,No,0.64,10,Yes,Monthly,2026-04-21
PRT-000099,62,M,Durham,Less than HS,110,Digital Skills,725,No,Employed PT,61944,Technology,125,Yes,0.99,14,No,Weekly,2026-05-28
PRT-000100,47,F,Southwestern,Less than HS,39,IT Security,221,Yes,Employed FT,54652,Retail,81,No,0.82,15,No,Weekly,2026-07-16
PRT-000101,34,X,Central,Master,90,Healthcare Aide,602,No,Employed PT,30242,Finance,24,Yes,0.44,11,Yes,Monthly,2026-03-15
PRT-000102,21,F,Niagara,College,110,Advanced Manufacturing,626,Yes,Further Training,50412,Retail,17,Yes,0.74,11,No,Monthly,2026-04-14
PRT-000103,23,F,Hamilton,College,80,Data Analytics,571,No,Self-Employed,108717,Government,146,Yes,0.74,16,Yes,Weekly,2026-05-13
PRT-000104,59,F,Southwestern,Master,138,Healthcare Aide,95,Yes,Unemployed,61987,Manufacturing,125,Yes,0.79,7,Yes,Monthly,2026-01-30
PRT-000105,42,X,Ottawa,College,34,Skilled Trades,735,No,Further Training,63354,Healthcare,117,Yes,0.66,10,Yes,Weekly,2026-06-17
PRT-000106,58,M,Eastern,College,2,Skilled Trades,289,Yes,Employed PT,63189,Healthcare,134,No,0.5,13,Yes,Weekly,2026-07-16
PRT-000107,41,X,Hamilton,Master,170,Data Analytics,400,Yes,Employed PT,74492,Technology,134,Yes,0.69,12,Yes,Monthly,2026-03-28
PRT-000108,30,M,Southwestern,High School,184,Skilled Trades,113,No,Further Training,82983,Retail,120,No,0.55,4,Yes,Weekly,2026-01-26
PRT-000109,30,X,Ottawa,College,227,Advanced Manufacturing,592,No,Employed PT,42309,Construction,171,Yes,0.34,2,Yes,Monthly,2026-02-03
PRT-000110,41,F,Hamilton,High School,193,Healthcare Aide,697,Yes,Self-Employed,101718,Retail,47,No,0.94,6,Yes,Monthly,2026-02-05
PRT-000111,58,X,Niagara,Master,5,Healthcare Aide,750,Yes,Employed FT,36703,Technology,123,No,0.79,6,Yes,Monthly,2026-07-22
PRT-000112,20,F,GTA,College,226,Healthcare Aide,158,No,Employed FT,30993,Finance,67,No,0.42,5,Yes,Monthly,2026-05-21
PRT-000113,45,M,Durham,Master,0,IT Security,796,Yes,Further Training,112968,Manufacturing,39,Yes,0.56,14,No,Weekly,2026-07-18
PRT-000114,50,F,Ottawa,Bachelor,12,IT Security,725,Yes,Unemployed,110936,Government,68,No,0.71,3,Yes,Monthly,2026-03-06
PRT-000115,51,F,Hamilton,Master,29,Healthcare Aide,491,No,Self-Employed,94122,Healthcare,174,Yes,0.87,5,No,Monthly,2026-01-18
PRT-000116,24,F,Hamilton,Master,213,Digital Skills,138,Yes,Unemployed,51853,Manufacturing,111,No,0.45,8,Yes,Monthly,2026-03-08
PRT-000117,56,X,Central,Master,1,Skilled Trades,289,No,Further Training,116261,Retail,175,No,0.95,17,Yes,Weekly,2026-03-06
PRT-000118,31,M,Central,College,32,Skilled Trades,235,Yes,Employed FT,42048,Healthcare,103,Yes,0.73,14,Yes,Monthly,2026-03-02
PRT-000119,32,F,GTA,High School,126,Healthcare Aide,378,Yes,Employed PT,100581,Finance,67,Yes,0.62,6,Yes,Weekly,2026-05-16
PRT-000120,34,X,Ottawa,College,3,Data Analytics,441,No,Unemployed,112682,Finance,70,Yes,0.74,18,Yes,Monthly,2026-01-08
PRT-000121,58,X,Niagara,Bachelor,105,Skilled Trades,389,Yes,Unemployed,51298,Construction,137,Yes,0.75,9,Yes,Monthly,2026-05-17
PRT-000122,33,M,GTA,High School,23,Skilled Trades,759,No,Employed PT,41949,Finance,71,No,0.5,12,Yes,Weekly,2026-05-31
PRT-000123,49,M,Durham,College,97,Digital Skills,413,No,Employed FT,81129,Manufacturing,94,Yes,0.84,9,No,Monthly,2026-05-06
PRT-000124,64,X,Southwestern,College,151,IT Security,648,Yes,Self-Employed,53588,Healthcare,79,No,0.7,8,Yes,Monthly,2026-01-21
PRT-000125,32,X,Waterloo,Bachelor,35,Advanced Manufacturing,164,No,Further Training,40205,Retail,25,Yes,0.68,16,Yes,Weekly,2026-02-01
PRT-000126,54,F,GTA,Less than HS,212,Advanced Manufacturing,562,Yes,Unemployed,112879,Finance,60,No,0.52,4,Yes,Monthly,2026-01-04
PRT-000127,57,M,GTA,High School,235,Digital Skills,433,Yes,Further Training,81742,Finance,174,Yes,0.94,8,Yes,Monthly,2026-05-05
PRT-000128,56,M,Southwestern,Master,158,Advanced Manufacturing,587,No,Employed FT,57299,Technology,66,No,0.98,14,No,Monthly,2026-04-24
PRT-000129,57,M,GTA,Less than HS,113,Healthcare Aide,45,Yes,Unemployed,76053,Healthcare,148,Yes,0.37,13,Yes,Weekly,2026-04-22
PRT-000130,40,M,Hamilton,College,143,Green Energy,74,No,Self-Employed,45503,Finance,165,No,0.36,3,Yes,Monthly,2026-02-16
PRT-000131,40,X,GTA,High School,96,Healthcare Aide,240,No,Unemployed,103685,Technology,148,No,0.75,13,Yes,Weekly,2026-04-23
PRT-000132,62,X,Durham,Master,85,Data Analytics,265,Yes,Unemployed,77251,Finance,102,No,0.65,10,No,Weekly,2026-04-27
PRT-000133,59,F,Southwestern,Master,80,Healthcare Aide,525,No,Employed FT,91025,Construction,125,No,0.78,3,Yes,Weekly,2026-07-06
PRT-000134,56,M,Ottawa,Master,150,Advanced Manufacturing,751,Yes,Employed FT,82066,Healthcare,154,Yes,0.59,9,Yes,Weekly,2026-02-17
PRT-000135,51,X,Central,High School,2,Skilled Trades,342,Yes,Further Training,58728,Manufacturing,12,Yes,0.42,8,No,Weekly,2026-04-03
PRT-000136,50,M,Hamilton,High School,79,IT Security,724,No,Self-Employed,80878,Government,86,No,0.63,16,Yes,Weekly,2026-02-15
PRT-000137,30,M,Eastern,Master,160,Digital Skills,775,No,Employed FT,33042,Healthcare,127,Yes,0.81,18,Yes,Weekly,2026-02-01
PRT-000138,30,F,Eastern,High School,40,Advanced Manufacturing,233,Yes,Further Training,99546,Construction,116,Yes,0.77,18,No,Weekly,2026-06-12
PRT-000139,25,F,Southwestern,College,167,Advanced Manufacturing,326,Yes,Employed PT,90899,Healthcare,118,No,0.51,15,Yes,Monthly,2026-03-29
PRT-000140,48,X,Ottawa,Bachelor,197,Advanced Manufacturing,204,Yes,Self-Employed,65908,Healthcare,115,Yes,0.31,17,Yes,Weekly,2026-06-06
PRT-000141,64,M,Ottawa,High School,135,Green Energy,271,Yes,Employed FT,83387,Construction,25,Yes,0.5,16,Yes,Weekly,2026-06-20
PRT-000142,49,M,Southwestern,Master,34,Advanced Manufacturing,397,Yes,Employed FT,43438,Manufacturing,25,Yes,0.75,4,Yes,Weekly,2026-04-11
PRT-000143,58,M,Niagara,High School,69,Digital Skills,487,No,Employed FT,88469,Manufacturing,36,Yes,0.89,9,Yes,Weekly,2026-03-10
PRT-000144,57,X,Durham,High School,158,Data Analytics,415,No,Self-Employed,66976,Technology,107,Yes,0.88,7,Yes,Monthly,2026-05-05
PRT-000145,42,F,Durham,Master,186,Data Analytics,310,No,Self-Employed,97517,Technology,123,No,0.9,16,No,Weekly,2026-02-08
PRT-000146,51,F,Central,High School,55,Data Analytics,606,Yes,Employed FT,109391,Government,116,No,0.6,4,Yes,Monthly,2026-04-05
PRT-000147,46,M,Northern,Less than HS,73,Digital Skills,453,No,Employed PT,75860,Government,150,No,0.45,18,No,Monthly,2026-03-26
PRT-000148,42,X,Hamilton,Master,178,Digital Skills,799,No,Further Training,78083,Healthcare,61,Yes,0.96,3,Yes,Monthly,2026-04-28
PRT-000149,23,F,Southwestern,Less than HS,208,Skilled Trades,254,Yes,Unemployed,57485,Retail,42,Yes,0.92,11,Yes,Monthly,2026-01-23
PRT-000150,40,F,Niagara,High School,221,Digital Skills,700,Yes,Further Training,33366,Retail,153,No,0.74,11,No,Weekly,2026-07-30
PRT-000151,57,M,Waterloo,College,121,Healthcare Aide,524,Yes,Unemployed,33879,Technology,91,Yes,0.51,9,Yes,Monthly,2026-01-04
PRT-000152,43,M,GTA,College,140,Data Analytics,73,Yes,Employed FT,36725,Government,12,Yes,0.53,4,Yes,Weekly,2026-03-08
PRT-000153,23,M,Eastern,Master,36,Advanced Manufacturing,192,Yes,Unemployed,43015,Manufacturing,152,Yes,0.76,16,Yes,Monthly,2026-07-13
PRT-000154,43,M,Northern,College,47,Advanced Manufacturing,222,Yes,Employed FT,58143,Healthcare,82,No,0.57,5,Yes,Monthly,2026-02-23
PRT-000155,33,X,Eastern,Less than HS,44,Digital Skills,612,No,Employed PT,58379,Manufacturing,126,Yes,0.75,3,No,Weekly,2026-03-29
PRT-000156,61,X,Niagara,Less than HS,80,Digital Skills,634,No,Further Training,79376,Government,27,Yes,0.4,7,Yes,Monthly,2026-03-28
PRT-000157,59,X,Hamilton,High School,144,Digital Skills,529,Yes,Employed PT,113085,Construction,61,Yes,0.8,3,No,Monthly,2026-07-18
PRT-000158,45,F,Durham,High School,78,IT Security,646,No,Employed FT,62245,Healthcare,127,Yes,0.51,9,No,Weekly,2026-02-24
PRT-000159,24,F,Durham,Bachelor,91,Data Analytics,203,No,Further Training,71842,Finance,39,No,0.46,6,Yes,Weekly,2026-05-12
PRT-000160,52,M,Central,Bachelor,173,Data Analytics,230,Yes,Employed PT,82794,Healthcare,83,Yes,0.75,17,No,Monthly,2026-06-28
PRT-000161,51,X,Niagara,Less than HS,159,Data Analytics,369,No,Self-Employed,70465,Retail,126,No,0.56,7,Yes,Monthly,2026-03-22
PRT-000162,55,M,Hamilton,Bachelor,169,Data Analytics,376,Yes,Unemployed,40078,Retail,178,Yes,0.7,12,Yes,Weekly,2026-03-07
PRT-000163,35,X,Central,Less than HS,217,Digital Skills,304,Yes,Self-Employed,97686,Healthcare,95,No,0.46,6,No,Monthly,2026-04-24
PRT-000164,25,F,Northern,Master,70,Data Analytics,439,Yes,Self-Employed,119711,Finance,93,No,0.82,5,Yes,Weekly,2026-04-04
PRT-000165,20,M,Central,College,34,Green Energy,479,No,Employed FT,43560,Manufacturing,110,Yes,0.71,3,Yes,Weekly,2026-03-19
PRT-000166,63,X,Waterloo,Master,86,Advanced Manufacturing,227,Yes,Unemployed,114485,Finance,72,No,0.78,16,Yes,Monthly,2026-07-01
PRT-000167,39,F,GTA,Bachelor,216,Healthcare Aide,684,Yes,Unemployed,51853,Finance,53,Yes,0.35,6,Yes,Weekly,2026-07-11
PRT-000168,49,M,Niagara,Bachelor,96,Digital Skills,349,No,Unemployed,36301,Finance,105,Yes,0.83,17,Yes,Monthly,2026-01-20
PRT-000169,18,F,Niagara,High School,62,Digital Skills,621,Yes,Employed FT,108422,Government,172,Yes,0.43,8,Yes,Weekly,2026-03-25
PRT-000170,63,X,Durham,High School,89,Green Energy,706,Yes,Employed PT,45843,Construction,13,Yes,0.59,7,Yes,Monthly,2026-05-04
PRT-000171,57,F,Waterloo,Bachelor,118,Skilled Trades,358,Yes,Employed FT,117803,Manufacturing,106,No,0.58,7,Yes,Monthly,2026-04-17
PRT-000172,21,X,Hamilton,College,223,Green Energy,277,No,Self-Employed,100991,Technology,80,No,0.62,12,Yes,Weekly,2026-04-06
PRT-000173,36,X,Hamilton,Master,5,Skilled Trades,137,No,Self-Employed,66714,Finance,15,Yes,0.89,17,Yes,Monthly,2026-03-16
PRT-000174,47,F,GTA,High School,49,Skilled Trades,97,Yes,Unemployed,73412,Manufacturing,106,Yes,0.47,13,Yes,Weekly,2026-07-31
PRT-000175,56,F,Eastern,Bachelor,185,Healthcare Aide,525,No,Further Training,47176,Healthcare,163,No,0.62,6,Yes,Monthly,2026-05-09
PRT-000176,25,F,Hamilton,Less than HS,130,Healthcare Aide,84,Yes,Further Training,39679,Manufacturing,63,Yes,0.48,5,Yes,Monthly,2026-06-29
PRT-000177,30,X,Northern,College,177,Advanced Manufacturing,617,Yes,Further Training,30559,Construction,53,No,0.69,8,Yes,Monthly,2026-07-25
PRT-000178,52,X,Ottawa,High School,230,Healthcare Aide,386,Yes,Employed FT,49175,Manufacturing,40,Yes,0.74,16,Yes,Weekly,2026-04-20
PRT-000179,34,X,Eastern,Less than HS,205,Digital Skills,63,Yes,Further Training,68607,Technology,123,Yes,0.55,8,Yes,Monthly,2026-06-07
PRT-000180,39,F,Central,Less than HS,157,Healthcare Aide,596,No,Further Training,109652,Government,8,Yes,0.87,4,Yes,Weekly,2026-02-06
