READING_ID,STATION_ID,REGION,READING_TIMESTAMP,POWER_OUTPUT_MW,DEMAND_MW,FREQUENCY_HZ,VOLTAGE_KV,TEMPERATURE_C,WIND_SPEED_KMH,SOLAR_IRRADIANCE,GENERATION_TYPE,CAPACITY_FACTOR,EMISSIONS_TONNES_CO2,GRID_STABILITY_INDEX,OUTAGE_FLAG,LAST_UPDATED
RDG-00000018,STN_0022,Waterloo,2026-03-02 02:00:00,3264.1,10170.7,60.01,212.5,6.2,2.5,991.2,Gas,0.9,117.2,0.918,Yes,2026-07-09
RDG-00000019,STN_0087,Southwestern,2026-04-28 20:00:00,2402.2,8341.1,59.966,418.8,-27.8,51.0,243.9,Nuclear,0.36,416.0,0.938,No,2026-05-29
RDG-00000020,STN_0163,Northern,2026-01-15 16:00:00,129.8,22187.2,59.973,248.2,-15.1,12.8,335.1,Biomass,0.46,323.3,0.918,No,2026-02-10
RDG-00000021,STN_0133,Niagara,2026-03-05 08:00:00,1922.9,13484.3,59.983,213.7,15.8,68.4,770.6,Nuclear,0.86,157.8,0.917,No,2026-03-12
RDG-00000022,STN_0167,Ottawa,2026-04-07 16:00:00,1336.2,13193.7,60.038,147.9,-25.1,54.3,354.2,Gas,0.44,56.1,0.932,No,2026-06-17
RDG-00000023,STN_0065,Ottawa,2026-04-14 14:00:00,850.5,18434.3,59.994,159.4,28.1,17.2,318.2,Solar,0.47,480.4,0.809,No,2026-01-21
RDG-00000024,STN_0070,Ottawa,2026-06-19 18:00:00,1983.3,8353.6,59.969,452.8,2.8,11.5,197.9,Gas,0.54,396.8,0.992,No,2026-03-18
RDG-00000025,STN_0016,Niagara,2026-01-23 12:00:00,65.4,10688.5,60.01,464.7,5.5,67.8,491.4,Solar,0.81,216.2,0.865,No,2026-03-12
RDG-00000026,STN_0188,Southwestern,2026-06-15 03:00:00,2329.9,11214.1,60.009,119.4,-4.6,29.7,728.9,Solar,0.14,325.5,0.991,No,2026-01-29
RDG-00000027,STN_0090,Eastern,2026-05-27 01:00:00,1239.2,18811.3,60.01,225.2,28.5,38.0,661.8,Wind,0.36,163.2,0.983,Yes,2026-07-11
RDG-00000028,STN_0154,Hamilton,2026-02-08 20:00:00,3134.0,18204.2,59.997,390.3,8.4,11.1,610.0,Nuclear,0.3,44.6,0.899,No,2026-07-17
RDG-00000029,STN_0146,Ottawa,2026-01-21 01:00:00,3224.8,13510.5,60.041,170.3,-18.8,27.7,163.4,Gas,0.95,395.4,0.896,No,2026-01-01
RDG-00000030,STN_0131,Central,2026-06-30 15:00:00,2191.8,22221.5,59.963,344.3,-12.6,25.2,835.5,Solar,0.37,77.6,0.836,No,2026-03-31
RDG-00000031,STN_0051,Eastern,2026-05-21 08:00:00,714.6,18586.4,59.999,238.5,20.4,8.2,519.1,Solar,0.13,21.9,0.863,No,2026-06-13
RDG-00000032,STN_0051,Eastern,2026-07-10 10:00:00,2563.5,23266.7,60.008,401.4,33.3,59.0,833.6,Nuclear,0.35,155.2,0.847,No,2026-06-15
RDG-00000033,STN_0072,Durham,2026-01-02 04:00:00,195.6,14748.7,59.969,245.1,-3.6,12.5,983.5,Solar,0.28,95.8,0.96,No,2026-07-25
RDG-00000034,STN_0117,Southwestern,2026-01-10 13:00:00,3240.0,14990.5,60.025,282.8,-7.8,8.5,403.3,Solar,0.93,452.0,0.827,No,2026-07-06
RDG-00000035,STN_0025,Central,2026-04-16 21:00:00,1761.4,9950.6,59.956,185.0,11.2,11.2,230.8,Hydro,0.62,391.0,0.932,No,2026-06-25
RDG-00000036,STN_0128,Durham,2026-06-25 19:00:00,2475.6,18552.3,59.962,232.2,32.6,11.9,345.5,Gas,0.84,493.6,0.974,No,2026-02-01
RDG-00000037,STN_0093,Niagara,2026-05-31 21:00:00,1987.4,9615.5,59.974,347.8,0.2,29.5,694.0,Hydro,0.84,15.5,0.922,No,2026-07-09
RDG-00000038,STN_0010,Eastern,2026-04-09 01:00:00,2142.4,24750.5,60.0,342.5,-9.6,35.3,963.4,Solar,0.23,214.8,0.896,Yes,2026-02-19
RDG-00000039,STN_0020,Central,2026-02-08 21:00:00,1485.8,14682.9,59.952,209.7,14.0,70.5,206.2,Solar,0.63,339.1,0.837,No,2026-06-26
RDG-00000040,STN_0073,Eastern,2026-05-02 10:00:00,3317.5,22392.2,59.959,363.6,-21.9,45.4,701.2,Hydro,0.33,0.0,0.977,No,2026-06-14
RDG-00000041,STN_0117,Eastern,2026-07-03 23:00:00,343.2,18957.6,59.974,181.5,-1.1,4.2,280.5,Hydro,0.9,481.2,0.806,No,2026-03-11
RDG-00000042,STN_0160,Eastern,2026-07-10 16:00:00,53.8,17443.6,60.049,116.8,15.0,30.7,412.2,Solar,0.8,419.5,0.936,Yes,2026-05-15
RDG-00000043,STN_0066,Ottawa,2026-03-07 21:00:00,2261.9,14416.0,59.955,352.3,12.4,50.7,29.1,Gas,0.12,483.6,0.808,Yes,2026-03-29
RDG-00000044,STN_0032,Central,2026-06-25 18:00:00,2169.1,18099.4,60.044,293.3,-5.5,25.5,410.1,Solar,0.73,295.0,0.962,No,2026-03-27
RDG-00000045,STN_0035,Hamilton,2026-05-13 06:00:00,2101.9,16422.6,60.03,422.2,-4.4,66.9,278.3,Solar,0.25,381.2,0.895,No,2026-03-27
RDG-00000046,STN_0008,Southwestern,2026-02-10 21:00:00,3130.8,11986.0,60.009,186.6,20.8,65.9,225.7,Hydro,0.41,334.8,0.819,No,2026-04-21
RDG-00000047,STN_0142,Hamilton,2026-03-21 19:00:00,3120.0,24758.0,60.019,127.0,-9.5,40.9,82.2,Wind,0.27,400.2,0.861,No,2026-05-11
RDG-00000048,STN_0115,Hamilton,2026-01-29 01:00:00,3026.7,12781.2,60.012,491.4,7.0,66.7,920.4,Biomass,0.22,175.2,0.937,No,2026-04-03
RDG-00000049,STN_0051,Northern,2026-07-12 08:00:00,187.1,19670.0,60.019,481.6,29.5,30.7,708.0,Nuclear,0.76,61.9,0.866,No,2026-04-22
RDG-00000050,STN_0003,Central,2026-05-03 01:00:00,2235.4,22705.7,59.987,215.6,-9.2,27.1,732.1,Gas,0.56,192.2,0.973,No,2026-05-11
RDG-00000051,STN_0119,Waterloo,2026-05-02 21:00:00,2003.7,11276.9,60.009,370.2,-27.1,36.6,514.6,Wind,0.63,28.9,0.939,No,2026-05-27
RDG-00000052,STN_0054,Central,2026-01-14 15:00:00,613.1,23391.7,59.951,276.3,-24.0,33.5,235.8,Solar,0.79,219.1,0.977,Yes,2026-02-20
RDG-00000053,STN_0090,Southwestern,2026-07-05 19:00:00,2037.0,8297.3,59.952,350.7,-29.4,50.6,889.5,Wind,0.61,86.4,0.823,Yes,2026-01-13
RDG-00000054,STN_0070,Durham,2026-07-21 09:00:00,1159.2,15962.8,60.028,157.8,8.5,45.8,799.6,Hydro,0.24,2.6,0.9,No,2026-07-23
RDG-00000055,STN_0112,Central,2026-06-23 01:00:00,480.9,10260.7,60.002,276.2,-11.5,54.9,21.7,Hydro,0.31,415.3,0.984,No,2026-01-27
RDG-00000056,STN_0071,Waterloo,2026-04-09 02:00:00,140.7,18048.0,60.033,311.1,-15.4,10.0,24.0,Solar,0.56,189.8,0.897,No,2026-01-10
RDG-00000057,STN_0058,Northern,2026-02-02 12:00:00,988.5,12243.9,59.986,240.2,-7.7,49.1,135.6,Nuclear,0.68,211.9,0.978,No,2026-04-14
RDG-00000058,STN_0050,Northern,2026-04-20 13:00:00,210.3,11188.9,59.981,299.2,34.4,39.0,526.5,Gas,0.55,418.5,0.884,Yes,2026-06-25
RDG-00000059,STN_0184,Waterloo,2026-06-17 17:00:00,3237.3,11449.3,60.004,167.1,4.5,68.9,43.1,Wind,0.45,420.0,0.825,No,2026-04-12
RDG-00000060,STN_0041,Waterloo,2026-05-09 11:00:00,2917.0,21752.5,60.002,476.4,-11.2,66.7,837.6,Wind,0.92,130.2,0.88,Yes,2026-04-08
RDG-00000061,STN_0064,Southwestern,2026-04-03 21:00:00,2613.3,16333.0,60.004,180.4,13.7,20.7,599.6,Wind,0.92,96.0,0.815,No,2026-05-22
RDG-00000062,STN_0127,Niagara,2026-03-17 19:00:00,2719.6,14795.6,59.98,274.2,33.3,62.3,12.8,Solar,0.37,313.3,0.869,No,2026-02-18
RDG-00000063,STN_0175,Eastern,2026-03-19 15:00:00,1530.4,12278.2,60.015,141.9,-27.5,16.7,3.6,Nuclear,0.39,4.9,0.934,No,2026-01-19
RDG-00000064,STN_0026,Northern,2026-07-02 16:00:00,3144.1,24897.8,59.983,146.9,7.2,36.7,722.3,Solar,0.53,140.8,0.827,Yes,2026-01-20
RDG-00000065,STN_0118,Northern,2026-02-16 08:00:00,2625.2,24209.7,59.959,401.4,3.6,37.8,126.4,Hydro,0.56,66.0,0.838,No,2026-07-29
RDG-00000066,STN_0129,Southwestern,2026-04-12 03:00:00,1109.3,14476.1,60.041,494.2,32.4,22.5,779.9,Gas,0.93,62.7,0.876,Yes,2026-04-30
RDG-00000067,STN_0178,Ottawa,2026-01-01 21:00:00,2356.6,21426.2,60.042,142.0,-18.5,37.4,118.5,Gas,0.65,408.7,0.83,Yes,2026-03-14
RDG-00000068,STN_0019,Durham,2026-01-24 06:00:00,1801.5,15739.4,59.993,152.0,29.2,16.6,963.3,Nuclear,0.45,87.4,0.896,No,2026-02-23
RDG-00000069,STN_0112,Central,2026-07-06 10:00:00,1868.7,17650.8,60.044,367.4,30.9,12.2,593.8,Nuclear,0.21,80.5,0.859,Yes,2026-06-07
RDG-00000070,STN_0158,Niagara,2026-03-21 04:00:00,2535.6,14734.7,59.95,387.8,-11.4,17.0,760.6,Biomass,0.21,73.9,0.904,Yes,2026-01-16
RDG-00000071,STN_0140,Central,2026-06-16 20:00:00,3242.1,12741.2,59.953,334.0,-6.6,58.6,787.3,Gas,0.48,166.3,0.874,No,2026-03-09
RDG-00000072,STN_0065,Ottawa,2026-01-14 21:00:00,2809.6,22736.2,59.984,447.6,-10.3,78.1,458.1,Gas,0.35,59.1,0.833,No,2026-06-16
RDG-00000073,STN_0091,Southwestern,2026-04-25 03:00:00,803.3,12399.4,60.023,350.4,-0.9,64.8,139.3,Solar,0.91,305.1,0.872,No,2026-02-05
RDG-00000074,STN_0009,Northern,2026-05-06 15:00:00,2682.6,12452.3,59.985,292.0,-19.5,12.6,327.4,Nuclear,0.66,395.2,0.868,No,2026-03-20
RDG-00000075,STN_0189,Northern,2026-04-11 17:00:00,2783.5,20388.7,60.032,481.0,17.5,11.3,2.0,Gas,0.72,81.5,0.893,No,2026-06-11
RDG-00000076,STN_0190,Eastern,2026-04-24 15:00:00,3185.0,10770.2,60.037,190.8,11.3,7.0,941.4,Gas,0.82,403.0,0.875,No,2026-03-06
RDG-00000077,STN_0112,Waterloo,2026-01-23 21:00:00,1989.0,23958.2,60.042,186.9,2.5,78.4,133.5,Gas,0.53,198.8,0.871,No,2026-02-03
RDG-00000078,STN_0170,GTA,2026-03-02 09:00:00,671.3,10168.1,59.981,231.0,-19.5,46.2,602.9,Solar,0.21,433.4,0.805,No,2026-07-05
RDG-00000079,STN_0128,Northern,2026-02-18 15:00:00,3032.2,24566.1,60.023,448.8,-15.6,1.2,920.7,Gas,0.7,379.9,0.907,No,2026-04-05
RDG-00000080,STN_0016,Southwestern,2026-07-22 05:00:00,1670.6,17050.5,59.975,260.8,12.5,43.5,483.0,Hydro,0.84,261.4,0.888,No,2026-06-09
RDG-00000081,STN_0144,Central,2026-06-07 11:00:00,2220.0,18168.5,59.967,473.1,23.9,71.5,90.8,Hydro,0.2,293.2,0.953,No,2026-01-10
RDG-00000082,STN_0106,Central,2026-03-17 06:00:00,2396.7,17140.0,59.99,368.1,-6.0,12.8,985.8,Solar,0.51,255.5,0.938,No,2026-01-25
RDG-00000083,STN_0004,GTA,2026-06-05 23:00:00,2657.0,12973.0,59.995,261.0,-12.5,76.0,13.3,Wind,0.79,142.8,0.943,No,2026-08-01
RDG-00000084,STN_0147,Waterloo,2026-03-16 03:00:00,2355.4,20980.9,60.042,157.3,-4.1,70.5,329.2,Wind,0.62,126.0,0.866,No,2026-02-26
RDG-00000085,STN_0177,Waterloo,2026-01-07 05:00:00,2147.1,9640.2,59.972,147.1,32.6,26.9,330.1,Nuclear,0.24,205.4,0.901,No,2026-03-14
RDG-00000086,STN_0190,Southwestern,2026-03-06 16:00:00,1057.8,8266.9,60.046,281.2,24.1,73.8,912.2,Gas,0.39,436.9,0.995,Yes,2026-07-25
RDG-00000087,STN_0108,GTA,2026-02-02 16:00:00,1737.2,17296.0,59.95,457.7,31.3,20.7,869.6,Wind,0.86,216.1,0.849,Yes,2026-05-21
RDG-00000088,STN_0096,Northern,2026-05-28 04:00:00,3366.7,17134.3,59.97,379.2,0.6,58.2,745.3,Gas,0.25,131.1,0.938,No,2026-03-20
RDG-00000089,STN_0034,Southwestern,2026-02-20 20:00:00,416.1,12432.0,59.991,417.7,22.4,77.4,810.0,Hydro,0.71,364.8,0.953,No,2026-01-19
RDG-00000090,STN_0092,Hamilton,2026-05-25 07:00:00,2062.7,8454.9,60.021,406.2,31.7,28.6,943.3,Wind,0.32,232.4,0.806,Yes,2026-07-19
RDG-00000091,STN_0172,Southwestern,2026-01-06 04:00:00,1963.8,11383.4,59.964,383.3,32.4,14.9,856.1,Biomass,0.7,382.6,0.849,Yes,2026-03-29
RDG-00000092,STN_0051,Ottawa,2026-03-01 22:00:00,2712.8,20138.6,59.992,230.6,30.2,34.4,501.4,Biomass,0.83,59.1,0.929,No,2026-04-26
RDG-00000093,STN_0154,Durham,2026-01-15 11:00:00,1287.0,11646.4,59.976,439.1,30.1,79.4,266.4,Nuclear,0.58,163.7,0.921,Yes,2026-01-07
RDG-00000094,STN_0103,Central,2026-02-20 18:00:00,1456.1,12616.5,60.007,457.5,-26.8,74.1,824.0,Wind,0.2,360.8,0.875,No,2026-02-03
RDG-00000095,STN_0009,Ottawa,2026-06-11 01:00:00,2962.6,16159.7,60.027,268.8,-27.9,9.4,725.2,Hydro,0.34,42.1,0.975,Yes,2026-03-30
RDG-00000096,STN_0106,Eastern,2026-01-17 07:00:00,1539.8,11939.6,59.991,178.6,-8.4,70.9,644.0,Gas,0.64,155.1,0.98,No,2026-04-26
RDG-00000097,STN_0124,Northern,2026-01-15 09:00:00,1315.4,21113.1,59.969,311.9,-21.4,38.2,93.7,Solar,0.87,42.5,0.987,No,2026-03-30
RDG-00000098,STN_0066,Niagara,2026-03-13 03:00:00,2810.4,12553.0,60.0,453.1,-17.7,61.5,497.8,Nuclear,0.16,343.3,0.968,No,2026-03-08
RDG-00000099,STN_0134,Waterloo,2026-01-08 15:00:00,2236.1,17065.4,60.049,326.3,30.1,62.5,335.8,Gas,0.15,30.2,0.839,No,2026-05-15
RDG-00000100,STN_0008,Southwestern,2026-05-28 16:00:00,1308.7,17450.6,59.988,214.0,16.5,76.0,258.7,Wind,0.25,396.7,0.952,No,2026-03-16
RDG-00000101,STN_0102,Northern,2026-07-02 01:00:00,1819.2,15149.0,59.964,178.6,0.8,27.6,797.9,Wind,0.9,316.9,0.983,No,2026-07-04
RDG-00000102,STN_0129,Niagara,2026-01-12 10:00:00,263.4,21796.0,59.98,174.7,26.3,35.5,91.2,Nuclear,0.55,289.7,0.967,No,2026-05-25
RDG-00000103,STN_0007,Hamilton,2026-02-02 16:00:00,2035.7,17806.8,59.96,217.8,6.4,72.2,825.9,Solar,0.35,169.7,0.802,No,2026-07-09
RDG-00000104,STN_0041,Waterloo,2026-06-28 00:00:00,3105.6,10093.3,59.995,225.2,-24.9,17.1,129.4,Wind,0.3,390.5,0.985,Yes,2026-01-30
RDG-00000105,STN_0011,GTA,2026-04-17 12:00:00,226.6,8555.2,59.998,148.0,-25.6,7.5,550.6,Wind,0.74,129.1,0.955,Yes,2026-01-12
RDG-00000106,STN_0020,Eastern,2026-01-21 22:00:00,732.5,11199.4,60.041,400.0,-17.1,7.1,46.8,Biomass,0.71,126.5,0.96,No,2026-07-26
RDG-00000107,STN_0166,Northern,2026-06-27 15:00:00,3427.0,23802.8,60.018,321.8,28.8,20.1,53.8,Nuclear,0.6,178.6,0.925,Yes,2026-02-04
RDG-00000108,STN_0007,Niagara,2026-07-18 00:00:00,3402.2,10324.7,60.033,235.4,-13.1,9.2,735.1,Biomass,0.11,255.3,0.865,No,2026-07-08
RDG-00000109,STN_0094,Central,2026-01-09 22:00:00,2361.3,14295.7,60.024,136.8,17.7,58.7,747.5,Nuclear,0.94,138.9,0.829,No,2026-03-16
RDG-00000110,STN_0093,Niagara,2026-07-20 08:00:00,1438.8,24667.2,60.049,401.8,7.3,6.4,671.1,Wind,0.6,370.3,0.989,Yes,2026-04-13
RDG-00000111,STN_0164,Hamilton,2026-07-14 12:00:00,1182.0,8685.7,59.988,248.3,-7.7,28.2,230.6,Hydro,0.16,114.7,0.816,Yes,2026-06-11
RDG-00000112,STN_0101,Southwestern,2026-03-09 20:00:00,590.7,17313.6,60.044,426.7,16.4,14.0,93.9,Gas,0.73,425.5,0.998,No,2026-04-03
RDG-00000113,STN_0076,Central,2026-07-27 06:00:00,2440.2,22512.5,60.002,156.5,24.6,30.4,659.8,Biomass,0.35,282.9,0.912,No,2026-06-04
RDG-00000114,STN_0137,Southwestern,2026-02-12 06:00:00,27.7,14687.2,60.005,439.0,4.0,77.1,415.8,Nuclear,0.8,193.0,0.875,No,2026-04-19
RDG-00000115,STN_0168,Eastern,2026-02-26 09:00:00,153.1,14589.5,60.009,496.3,-3.8,61.2,11.5,Wind,0.66,240.3,0.867,Yes,2026-02-25
RDG-00000116,STN_0097,Eastern,2026-04-18 18:00:00,1273.1,18485.4,60.046,110.3,15.3,60.4,665.8,Gas,0.8,493.2,0.92,No,2026-07-01
RDG-00000117,STN_0024,GTA,2026-01-09 07:00:00,3172.1,15967.4,59.963,113.5,-5.5,68.0,486.2,Gas,0.78,166.9,0.955,No,2026-03-15
RDG-00000118,STN_0172,Durham,2026-03-17 11:00:00,2391.3,21284.4,59.981,463.4,8.6,76.7,281.6,Biomass,0.17,158.1,0.815,No,2026-02-02
RDG-00000119,STN_0085,Niagara,2026-02-15 10:00:00,375.3,8826.0,60.01,222.3,-20.4,57.7,680.2,Solar,0.74,336.7,0.973,No,2026-02-03
RDG-00000120,STN_0144,Durham,2026-03-01 00:00:00,1725.1,20295.5,59.957,204.6,16.9,55.6,34.9,Gas,0.68,460.8,0.986,Yes,2026-07-07
RDG-00000121,STN_0004,GTA,2026-05-17 02:00:00,128.9,13663.4,59.955,182.4,-1.9,20.0,245.6,Hydro,0.26,417.5,0.868,No,2026-04-27
RDG-00000122,STN_0005,Niagara,2026-05-02 08:00:00,2886.6,23191.0,60.038,224.8,13.5,49.7,307.1,Gas,0.62,155.4,0.921,No,2026-03-21
RDG-00000123,STN_0073,Durham,2026-03-19 10:00:00,1953.0,23426.3,59.955,196.5,-24.0,52.0,827.0,Hydro,0.4,471.5,0.82,No,2026-04-13
RDG-00000124,STN_0068,Eastern,2026-02-05 03:00:00,2676.2,10220.2,59.978,313.3,-16.5,42.2,154.4,Hydro,0.12,488.0,0.994,No,2026-04-17
RDG-00000125,STN_0198,Eastern,2026-02-14 17:00:00,1000.8,22816.4,60.007,402.0,-14.1,49.1,219.1,Gas,0.78,80.0,0.867,Yes,2026-05-10
RDG-00000126,STN_0118,GTA,2026-02-10 00:00:00,907.6,23050.5,59.974,384.0,19.8,52.3,933.0,Gas,0.9,428.4,0.957,No,2026-06-27
RDG-00000127,STN_0031,Hamilton,2026-04-02 21:00:00,1704.0,17605.7,59.981,261.4,9.6,2.7,474.7,Gas,0.92,206.8,0.889,No,2026-02-09
RDG-00000128,STN_0097,Waterloo,2026-07-08 17:00:00,1552.0,23495.2,60.045,266.3,33.1,54.9,858.4,Gas,0.2,421.3,0.834,No,2026-06-20
RDG-00000129,STN_0077,Southwestern,2026-03-25 11:00:00,3409.8,18962.7,59.992,455.2,-12.8,72.8,16.3,Hydro,0.54,231.1,0.871,Yes,2026-01-01
RDG-00000130,STN_0014,Ottawa,2026-04-02 03:00:00,1087.4,19816.5,59.997,277.1,10.9,19.8,112.7,Hydro,0.5,192.4,0.803,Yes,2026-07-30
RDG-00000131,STN_0077,Durham,2026-01-20 20:00:00,2706.3,18543.2,59.985,406.0,-10.5,74.5,973.8,Gas,0.66,325.3,0.917,No,2026-02-10
RDG-00000132,STN_0143,Central,2026-04-10 00:00:00,96.3,16018.3,60.043,433.0,11.8,17.0,749.4,Solar,0.91,326.1,0.97,No,2026-04-24
RDG-00000133,STN_0059,Southwestern,2026-03-10 12:00:00,780.7,12685.0,60.013,166.0,-5.9,67.8,36.2,Biomass,0.31,4.0,0.8,No,2026-03-31
RDG-00000134,STN_0103,Durham,2026-01-13 09:00:00,3327.5,16933.2,59.971,301.4,-22.9,21.3,293.6,Gas,0.16,498.4,0.834,Yes,2026-04-03
RDG-00000135,STN_0009,Southwestern,2026-01-17 13:00:00,3035.1,14994.9,59.959,316.9,-11.6,9.7,636.7,Solar,0.21,192.3,0.845,No,2026-03-07
RDG-00000136,STN_0040,Central,2026-04-04 03:00:00,96.4,22322.4,59.993,209.7,17.3,38.1,146.5,Hydro,0.86,421.4,0.999,No,2026-07-28
RDG-00000137,STN_0161,Ottawa,2026-06-11 18:00:00,2591.4,23575.5,60.009,129.9,-6.6,71.3,404.9,Solar,0.4,482.9,0.934,No,2026-03-29
RDG-00000138,STN_0164,Niagara,2026-05-28 22:00:00,1542.2,11509.6,60.036,381.3,9.1,60.6,49.3,Nuclear,0.34,221.3,0.918,No,2026-04-12
RDG-00000139,STN_0170,Waterloo,2026-05-11 22:00:00,2862.2,24199.8,59.991,319.7,30.1,34.5,253.2,Biomass,0.67,413.6,0.984,No,2026-06-22
RDG-00000140,STN_0160,Hamilton,2026-05-28 08:00:00,2760.0,9777.6,59.981,184.5,31.7,36.2,956.5,Hydro,0.26,118.6,0.857,Yes,2026-05-25
RDG-00000141,STN_0048,GTA,2026-07-27 04:00:00,265.8,20366.1,60.039,361.7,-4.9,46.7,698.9,Nuclear,0.18,381.2,0.811,No,2026-02-02
RDG-00000142,STN_0114,Central,2026-04-16 00:00:00,355.9,20907.1,60.038,496.7,-15.9,42.8,370.0,Biomass,0.57,467.2,0.968,No,2026-06-15
RDG-00000143,STN_0093,Northern,2026-06-26 14:00:00,1355.5,9782.7,60.006,446.0,18.2,45.6,334.3,Biomass,0.41,49.4,0.99,No,2026-01-21
RDG-00000144,STN_0052,Central,2026-03-22 15:00:00,176.7,9025.6,59.995,147.1,-23.3,0.9,569.8,Solar,0.62,202.6,0.921,No,2026-02-10
RDG-00000145,STN_0006,Ottawa,2026-02-15 04:00:00,47.1,17058.1,59.965,120.3,-7.9,50.7,312.5,Gas,0.62,365.4,0.917,No,2026-05-02
RDG-00000146,STN_0200,Southwestern,2026-02-18 15:00:00,26.7,15715.8,60.026,411.7,-24.6,54.0,458.3,Biomass,0.17,252.3,0.846,No,2026-04-17
RDG-00000147,STN_0168,Ottawa,2026-04-10 21:00:00,2434.2,14049.4,59.991,221.8,16.4,72.4,566.0,Hydro,0.54,416.7,0.977,No,2026-04-03
RDG-00000148,STN_0095,Central,2026-03-26 17:00:00,3100.5,13994.1,60.008,425.6,8.4,54.3,497.0,Hydro,0.24,348.1,0.859,Yes,2026-06-21
RDG-00000149,STN_0020,Durham,2026-03-06 07:00:00,2776.0,12563.2,60.015,422.8,-27.5,77.4,125.4,Wind,0.27,127.2,0.93,Yes,2026-06-25
RDG-00000150,STN_0187,Waterloo,2026-05-07 05:00:00,2289.9,21248.5,60.035,129.1,17.0,72.8,538.7,Gas,0.85,161.2,0.838,No,2026-07-20
RDG-00000151,STN_0113,Northern,2026-02-16 04:00:00,1096.2,24650.7,60.002,401.2,15.2,2.3,61.0,Gas,0.92,62.3,0.851,No,2026-06-14
RDG-00000152,STN_0100,Ottawa,2026-04-29 12:00:00,2634.7,15535.7,59.987,446.2,31.4,39.5,296.1,Biomass,0.66,1.5,0.942,Yes,2026-07-07
RDG-00000153,STN_0109,Durham,2026-04-05 04:00:00,2280.3,15850.0,59.972,144.8,-23.4,77.6,614.4,Nuclear,0.57,486.6,0.948,No,2026-03-12
RDG-00000154,STN_0175,Eastern,2026-01-03 03:00:00,2327.0,17937.7,59.957,377.0,4.4,32.1,165.1,Gas,0.51,195.0,0.988,No,2026-03-07
