TRANSACTION_ID,BUSINESS_ENTITY_ID,ENTITY_NAME,BUSINESS_TYPE,SECTOR,REVENUE_AMOUNT,TAX_COLLECTED,TRANSACTION_DATE,FISCAL_QUARTER,REGION,EMPLOYEE_COUNT,ANNUAL_REVENUE_TIER,COMPLIANCE_STATUS,AUDIT_FLAG,BN_NUMBER,LAST_UPDATED
TXN-00000015,BIZ-00345,Ontario Business 210,Sole Proprietorship,Manufacturing,4140549.13,448432.35,2024-07-07,2024-04-01,Central,217,>$100M,Non-Compliant,Yes,937891167RC0001,2026-01-03
TXN-00000016,BIZ-00352,Ontario Business 231,Sole Proprietorship,Construction,4642751.15,305649.94,2025-06-24,2024-10-01,Hamilton,3188,>$100M,Non-Compliant,No,164629850RC0001,2026-07-03
TXN-00000017,BIZ-00285,Ontario Business 298,Partnership,Finance,3677170.02,419359.6,2025-03-12,2025-10-01,GTA,1924,$25-100M,Exempt,Yes,946064672RC0001,2026-06-12
TXN-00000018,BIZ-00096,Ontario Business 399,Crown Corporation,Education,3407038.03,199120.18,2025-07-07,2024-10-01,Waterloo,2339,$1-5M,Non-Compliant,Yes,160809127RC0001,2026-05-04
TXN-00000019,BIZ-00309,Ontario Business 426,Crown Corporation,Healthcare,2162328.07,145634.82,2025-05-22,2026-01-01,Durham,2098,$1-5M,Non-Compliant,No,214000155RC0001,2026-04-18
TXN-00000020,BIZ-00148,Ontario Business 289,Corporation,Mining,559369.68,125559.74,2025-11-27,2025-10-01,Waterloo,2734,<$1M,Exempt,Yes,468408667RC0001,2026-06-05
TXN-00000021,BIZ-00091,Ontario Business 177,Corporation,Healthcare,1941597.45,48165.16,2025-03-13,2026-01-01,Durham,508,$25-100M,Under Review,Yes,157413841RC0001,2026-05-03
TXN-00000022,BIZ-00343,Ontario Business 24,Corporation,Agriculture,317497.67,140321.71,2026-05-20,2025-04-01,Waterloo,151,$1-5M,Under Review,No,421748591RC0001,2026-03-01
TXN-00000023,BIZ-00092,Ontario Business 426,Crown Corporation,Mining,4302430.54,114216.17,2026-03-09,2025-04-01,Waterloo,2306,<$1M,Compliant,Yes,848080170RC0001,2026-04-08
TXN-00000024,BIZ-00345,Ontario Business 296,Cooperative,Energy,4538225.17,398600.94,2024-04-30,2024-10-01,Waterloo,2462,$25-100M,Non-Compliant,Yes,365511959RC0001,2026-01-18
TXN-00000025,BIZ-00055,Ontario Business 278,Sole Proprietorship,Agriculture,2311275.67,389749.46,2024-04-06,2025-04-01,Niagara,2927,>$100M,Non-Compliant,Yes,188163861RC0001,2026-06-17
TXN-00000026,BIZ-00075,Ontario Business 15,Sole Proprietorship,Manufacturing,2814849.3,588864.63,2024-03-01,2025-07-01,Waterloo,3153,$25-100M,Exempt,No,265552744RC0001,2026-02-25
TXN-00000027,BIZ-00294,Ontario Business 486,Partnership,Manufacturing,2788564.44,135154.52,2025-05-08,2025-07-01,Southwestern,1303,>$100M,Non-Compliant,No,360206828RC0001,2026-05-02
TXN-00000028,BIZ-00369,Ontario Business 246,Sole Proprietorship,Retail,3139413.69,409483.24,2024-11-28,2024-04-01,Eastern,80,$1-5M,Exempt,No,948623470RC0001,2026-02-04
TXN-00000029,BIZ-00351,Ontario Business 406,Corporation,Construction,2877698.97,529132.37,2025-02-14,2024-10-01,Central,382,$5-25M,Non-Compliant,Yes,269587265RC0001,2026-04-19
TXN-00000030,BIZ-00228,Ontario Business 317,Non-Profit,Finance,1390325.91,547251.34,2025-10-10,2025-04-01,Durham,2016,$25-100M,Under Review,No,699524746RC0001,2026-07-03
TXN-00000031,BIZ-00237,Ontario Business 391,Cooperative,Construction,2946329.48,156461.05,2025-06-06,2025-04-01,Waterloo,650,$1-5M,Exempt,No,277963731RC0001,2026-05-10
TXN-00000032,BIZ-00250,Ontario Business 246,Partnership,Construction,3942474.99,249369.07,2025-09-23,2024-07-01,GTA,2414,<$1M,Exempt,No,856944771RC0001,2026-07-20
TXN-00000033,BIZ-00085,Ontario Business 306,Crown Corporation,Mining,4786031.42,247645.9,2024-07-06,2025-04-01,Ottawa,2595,$25-100M,Under Review,Yes,814811836RC0001,2026-05-12
TXN-00000034,BIZ-00026,Ontario Business 73,Corporation,Retail,101918.39,50462.71,2026-07-06,2024-04-01,Hamilton,838,>$100M,Compliant,Yes,739028634RC0001,2026-07-18
TXN-00000035,BIZ-00412,Ontario Business 144,Sole Proprietorship,Manufacturing,2282498.01,642447.2,2024-07-03,2025-10-01,Central,3587,>$100M,Compliant,No,766067658RC0001,2026-04-12
TXN-00000036,BIZ-00114,Ontario Business 410,Partnership,Energy,150791.04,378627.63,2025-01-13,2025-01-01,Ottawa,651,<$1M,Compliant,No,648851004RC0001,2026-03-19
TXN-00000037,BIZ-00190,Ontario Business 203,Crown Corporation,Manufacturing,4772005.01,59649.41,2024-08-12,2026-01-01,GTA,380,<$1M,Exempt,No,709055632RC0001,2026-02-18
TXN-00000038,BIZ-00048,Ontario Business 464,Crown Corporation,Energy,2074849.51,18146.85,2025-05-26,2025-01-01,GTA,1515,<$1M,Exempt,Yes,586559903RC0001,2026-02-24
TXN-00000039,BIZ-00121,Ontario Business 427,Non-Profit,Construction,4056613.09,428361.47,2024-03-26,2024-04-01,Ottawa,2371,>$100M,Under Review,No,268024205RC0001,2026-01-20
TXN-00000040,BIZ-00424,Ontario Business 410,Non-Profit,Mining,4264348.76,597578.55,2024-06-12,2025-04-01,GTA,1,$25-100M,Compliant,Yes,662874971RC0001,2026-04-08
TXN-00000041,BIZ-00172,Ontario Business 139,Cooperative,Mining,2132354.1,261918.71,2024-06-24,2025-07-01,Ottawa,2219,$1-5M,Non-Compliant,Yes,996079942RC0001,2026-03-12
TXN-00000042,BIZ-00425,Ontario Business 242,Corporation,Healthcare,4150421.46,462322.02,2024-02-01,2024-04-01,Southwestern,2777,<$1M,Compliant,No,901397942RC0001,2026-03-04
TXN-00000043,BIZ-00473,Ontario Business 36,Cooperative,Healthcare,2861300.79,213252.9,2026-07-22,2025-10-01,GTA,1238,$25-100M,Exempt,Yes,957745303RC0001,2026-06-29
TXN-00000044,BIZ-00442,Ontario Business 141,Crown Corporation,Construction,3035150.74,271198.8,2026-05-17,2025-07-01,Southwestern,4116,$5-25M,Exempt,Yes,440187448RC0001,2026-05-01
TXN-00000045,BIZ-00180,Ontario Business 5,Partnership,Finance,898132.34,260522.29,2024-09-24,2024-04-01,Niagara,4839,$5-25M,Exempt,Yes,937905591RC0001,2026-07-06
TXN-00000046,BIZ-00390,Ontario Business 252,Partnership,Retail,4399170.03,480200.69,2024-06-12,2026-01-01,Hamilton,896,<$1M,Non-Compliant,Yes,510902166RC0001,2026-01-15
TXN-00000047,BIZ-00189,Ontario Business 494,Non-Profit,Technology,4736304.1,368932.75,2025-11-18,2025-07-01,Central,4015,<$1M,Under Review,No,628178486RC0001,2026-07-08
TXN-00000048,BIZ-00281,Ontario Business 196,Partnership,Technology,1314003.33,477205.78,2024-04-03,2025-04-01,Southwestern,1126,>$100M,Non-Compliant,Yes,903931888RC0001,2026-04-14
TXN-00000049,BIZ-00253,Ontario Business 405,Cooperative,Technology,2650643.96,39474.25,2024-12-20,2024-04-01,Ottawa,2691,<$1M,Under Review,No,818420959RC0001,2026-05-12
TXN-00000050,BIZ-00337,Ontario Business 213,Sole Proprietorship,Education,2549729.26,570560.18,2025-03-30,2024-04-01,Southwestern,1172,$5-25M,Compliant,No,879127591RC0001,2026-05-25
TXN-00000051,BIZ-00341,Ontario Business 259,Corporation,Retail,750188.21,589237.17,2024-01-06,2026-01-01,Niagara,4416,<$1M,Exempt,Yes,147342673RC0001,2026-04-20
TXN-00000052,BIZ-00274,Ontario Business 40,Partnership,Manufacturing,2130252.88,374950.3,2024-06-06,2025-01-01,Waterloo,3830,$25-100M,Exempt,Yes,833548674RC0001,2026-01-13
TXN-00000053,BIZ-00161,Ontario Business 129,Corporation,Construction,3917357.31,209657.68,2024-01-30,2026-01-01,Niagara,114,<$1M,Exempt,No,913652429RC0001,2026-01-29
TXN-00000054,BIZ-00364,Ontario Business 381,Non-Profit,Technology,28216.1,291760.6,2025-04-29,2025-04-01,Northern,4153,$5-25M,Non-Compliant,No,590220559RC0001,2026-04-22
TXN-00000055,BIZ-00053,Ontario Business 272,Cooperative,Education,4604964.43,313493.9,2024-02-16,2025-10-01,Niagara,3999,$1-5M,Compliant,Yes,957254677RC0001,2026-07-31
TXN-00000056,BIZ-00091,Ontario Business 284,Sole Proprietorship,Retail,2931387.12,76346.44,2024-07-29,2024-04-01,Waterloo,1238,<$1M,Non-Compliant,Yes,585841409RC0001,2026-02-15
TXN-00000057,BIZ-00382,Ontario Business 187,Non-Profit,Construction,2674146.28,127661.74,2026-04-28,2026-01-01,Southwestern,446,>$100M,Compliant,Yes,837632762RC0001,2026-07-17
TXN-00000058,BIZ-00024,Ontario Business 177,Non-Profit,Mining,4042234.77,525305.93,2025-12-05,2026-01-01,Niagara,4841,>$100M,Compliant,Yes,289371709RC0001,2026-06-21
TXN-00000059,BIZ-00397,Ontario Business 85,Partnership,Education,3988188.93,39632.2,2024-08-09,2025-10-01,Ottawa,120,>$100M,Compliant,Yes,484051865RC0001,2026-05-06
TXN-00000060,BIZ-00422,Ontario Business 337,Corporation,Healthcare,4249663.0,568759.01,2024-06-21,2024-04-01,Niagara,1974,$25-100M,Compliant,Yes,499068598RC0001,2026-03-28
TXN-00000061,BIZ-00317,Ontario Business 181,Non-Profit,Healthcare,1590880.5,254487.13,2026-07-09,2025-10-01,Ottawa,3569,$25-100M,Under Review,No,964574801RC0001,2026-03-30
TXN-00000062,BIZ-00278,Ontario Business 441,Crown Corporation,Manufacturing,1929416.18,641470.09,2024-05-15,2025-07-01,Eastern,3078,>$100M,Exempt,Yes,254933856RC0001,2026-07-27
TXN-00000063,BIZ-00032,Ontario Business 317,Sole Proprietorship,Finance,1631808.55,179412.47,2024-02-17,2024-04-01,Niagara,2198,<$1M,Exempt,No,979803192RC0001,2026-02-22
TXN-00000064,BIZ-00422,Ontario Business 491,Cooperative,Agriculture,2490590.66,63075.87,2026-05-10,2025-01-01,Southwestern,961,<$1M,Compliant,Yes,569244092RC0001,2026-04-10
TXN-00000065,BIZ-00166,Ontario Business 277,Partnership,Agriculture,1436694.2,624098.78,2024-09-03,2025-01-01,GTA,48,$5-25M,Exempt,Yes,341747719RC0001,2026-06-29
TXN-00000066,BIZ-00416,Ontario Business 161,Cooperative,Education,7558.02,346939.94,2025-12-14,2026-01-01,GTA,3145,$5-25M,Under Review,No,500465977RC0001,2026-06-09
TXN-00000067,BIZ-00408,Ontario Business 3,Partnership,Retail,2337925.05,396929.66,2024-02-22,2025-07-01,Durham,1988,<$1M,Non-Compliant,No,115844356RC0001,2026-02-02
TXN-00000068,BIZ-00251,Ontario Business 336,Non-Profit,Mining,118980.45,551710.61,2025-03-11,2025-04-01,Central,931,$1-5M,Compliant,Yes,444286362RC0001,2026-06-11
TXN-00000069,BIZ-00408,Ontario Business 26,Corporation,Mining,2727550.03,618089.05,2026-07-26,2026-01-01,Central,2448,$25-100M,Under Review,Yes,681902843RC0001,2026-03-14
TXN-00000070,BIZ-00093,Ontario Business 249,Partnership,Technology,1914661.82,331887.74,2025-05-28,2025-07-01,GTA,3641,$1-5M,Non-Compliant,No,340191473RC0001,2026-02-17
TXN-00000071,BIZ-00007,Ontario Business 190,Cooperative,Finance,4810318.88,234537.4,2024-11-23,2025-07-01,GTA,960,$1-5M,Non-Compliant,Yes,371540755RC0001,2026-04-30
TXN-00000072,BIZ-00042,Ontario Business 48,Crown Corporation,Agriculture,2551213.65,437149.19,2026-03-04,2025-07-01,GTA,2961,<$1M,Under Review,Yes,669725641RC0001,2026-06-12
TXN-00000073,BIZ-00137,Ontario Business 45,Non-Profit,Technology,1794922.29,60273.0,2024-10-23,2024-07-01,Northern,181,<$1M,Exempt,No,778551464RC0001,2026-01-11
TXN-00000074,BIZ-00141,Ontario Business 377,Partnership,Healthcare,1656771.59,377352.15,2026-07-25,2025-01-01,Eastern,1262,$25-100M,Exempt,Yes,942451264RC0001,2026-07-18
TXN-00000075,BIZ-00196,Ontario Business 288,Non-Profit,Mining,1326876.7,147059.47,2025-04-21,2025-01-01,GTA,4648,$1-5M,Non-Compliant,Yes,318672854RC0001,2026-06-04
TXN-00000076,BIZ-00025,Ontario Business 193,Corporation,Energy,2064467.72,267512.85,2024-02-16,2026-01-01,Ottawa,1219,$5-25M,Compliant,Yes,612369902RC0001,2026-02-22
TXN-00000077,BIZ-00313,Ontario Business 433,Partnership,Mining,433656.25,419402.78,2025-07-02,2024-07-01,Waterloo,1818,$25-100M,Exempt,No,303681505RC0001,2026-04-21
TXN-00000078,BIZ-00153,Ontario Business 107,Crown Corporation,Energy,3390267.63,126803.72,2025-11-04,2025-04-01,Central,4884,$5-25M,Non-Compliant,No,692623167RC0001,2026-07-14
TXN-00000079,BIZ-00061,Ontario Business 189,Corporation,Agriculture,2918712.96,644952.23,2026-07-27,2025-04-01,Niagara,1907,<$1M,Exempt,No,541148363RC0001,2026-07-19
TXN-00000080,BIZ-00117,Ontario Business 123,Cooperative,Technology,644510.06,5191.84,2024-06-08,2025-01-01,Eastern,1819,>$100M,Under Review,Yes,810188601RC0001,2026-05-26
TXN-00000081,BIZ-00198,Ontario Business 3,Sole Proprietorship,Energy,136446.35,472110.84,2025-11-05,2024-10-01,Hamilton,133,$5-25M,Compliant,Yes,935598943RC0001,2026-03-21
TXN-00000082,BIZ-00126,Ontario Business 397,Non-Profit,Education,4644456.97,278739.02,2024-11-06,2026-01-01,GTA,4094,$1-5M,Exempt,Yes,892659943RC0001,2026-02-11
TXN-00000083,BIZ-00238,Ontario Business 162,Crown Corporation,Agriculture,3030269.16,619041.16,2024-07-26,2025-10-01,Durham,238,$5-25M,Under Review,No,307803427RC0001,2026-05-16
TXN-00000084,BIZ-00030,Ontario Business 432,Non-Profit,Agriculture,4880530.55,95787.33,2024-07-13,2024-04-01,Waterloo,3772,<$1M,Compliant,Yes,416329451RC0001,2026-04-29
TXN-00000085,BIZ-00256,Ontario Business 26,Cooperative,Construction,1810323.74,340412.38,2025-02-09,2024-10-01,Ottawa,27,>$100M,Exempt,Yes,533539378RC0001,2026-04-28
TXN-00000086,BIZ-00271,Ontario Business 479,Cooperative,Finance,2527926.46,422646.28,2026-06-19,2025-10-01,Durham,4703,$25-100M,Compliant,Yes,506305563RC0001,2026-07-18
TXN-00000087,BIZ-00453,Ontario Business 461,Crown Corporation,Agriculture,3404982.46,340374.38,2026-06-15,2024-10-01,Hamilton,4817,<$1M,Non-Compliant,Yes,496731875RC0001,2026-02-13
TXN-00000088,BIZ-00279,Ontario Business 345,Partnership,Education,1613304.29,603791.5,2025-03-08,2024-07-01,Hamilton,4889,$1-5M,Under Review,No,208300861RC0001,2026-06-20
TXN-00000089,BIZ-00313,Ontario Business 313,Crown Corporation,Mining,2214885.89,141091.74,2024-02-12,2024-04-01,Durham,1738,$5-25M,Compliant,No,878922249RC0001,2026-03-08
TXN-00000090,BIZ-00132,Ontario Business 466,Non-Profit,Construction,2755350.87,29037.49,2026-04-19,2025-04-01,Durham,2021,$1-5M,Non-Compliant,No,954608196RC0001,2026-03-23
TXN-00000091,BIZ-00277,Ontario Business 194,Cooperative,Construction,4580014.38,412397.58,2025-01-31,2024-04-01,Northern,819,$1-5M,Compliant,Yes,553502385RC0001,2026-06-30
TXN-00000092,BIZ-00217,Ontario Business 383,Cooperative,Education,1488924.87,208182.66,2025-10-17,2026-01-01,Southwestern,1824,<$1M,Exempt,Yes,854527196RC0001,2026-02-24
TXN-00000093,BIZ-00228,Ontario Business 269,Sole Proprietorship,Energy,3530487.56,546636.16,2025-03-25,2024-07-01,Northern,3427,>$100M,Exempt,Yes,408519434RC0001,2026-01-21
TXN-00000094,BIZ-00171,Ontario Business 403,Partnership,Construction,2703021.44,413828.73,2024-08-28,2026-01-01,Eastern,638,$5-25M,Under Review,Yes,613270405RC0001,2026-06-21
TXN-00000095,BIZ-00174,Ontario Business 199,Sole Proprietorship,Retail,2402888.37,391527.51,2026-01-09,2025-04-01,Eastern,1609,<$1M,Exempt,Yes,582736088RC0001,2026-02-27
TXN-00000096,BIZ-00370,Ontario Business 414,Corporation,Energy,3246750.96,400867.98,2025-02-22,2025-10-01,Northern,263,>$100M,Non-Compliant,Yes,573016706RC0001,2026-05-14
TXN-00000097,BIZ-00141,Ontario Business 367,Crown Corporation,Retail,4484499.96,496606.41,2024-12-06,2026-01-01,Hamilton,2411,$25-100M,Exempt,Yes,225460501RC0001,2026-06-03
TXN-00000098,BIZ-00315,Ontario Business 358,Crown Corporation,Agriculture,3311358.02,547640.32,2024-12-17,2024-10-01,Central,2815,$5-25M,Under Review,No,458737520RC0001,2026-05-24
TXN-00000099,BIZ-00404,Ontario Business 217,Crown Corporation,Construction,873443.42,116208.26,2025-09-13,2024-04-01,Hamilton,1328,$1-5M,Exempt,No,761308720RC0001,2026-03-11
TXN-00000100,BIZ-00023,Ontario Business 222,Cooperative,Technology,495366.8,642887.9,2024-09-23,2024-07-01,Eastern,4234,$1-5M,Exempt,Yes,698179716RC0001,2026-04-15
TXN-00000101,BIZ-00344,Ontario Business 276,Non-Profit,Manufacturing,4945121.63,400534.65,2026-04-02,2025-01-01,Durham,4963,>$100M,Exempt,Yes,266575256RC0001,2026-04-02
TXN-00000102,BIZ-00332,Ontario Business 452,Partnership,Education,3246267.95,480792.49,2024-07-10,2025-10-01,Niagara,712,<$1M,Under Review,No,531047336RC0001,2026-04-06
TXN-00000103,BIZ-00255,Ontario Business 138,Cooperative,Agriculture,259976.89,594053.8,2024-07-24,2026-01-01,Ottawa,2502,>$100M,Under Review,No,256399654RC0001,2026-05-04
TXN-00000104,BIZ-00119,Ontario Business 321,Partnership,Technology,3237988.06,20542.35,2026-01-17,2024-07-01,Northern,3506,$25-100M,Non-Compliant,No,783648084RC0001,2026-07-31
TXN-00000105,BIZ-00019,Ontario Business 300,Crown Corporation,Healthcare,1424430.74,509094.05,2025-08-03,2024-07-01,GTA,385,>$100M,Compliant,No,521151486RC0001,2026-04-02
TXN-00000106,BIZ-00428,Ontario Business 341,Non-Profit,Energy,1545219.26,612804.61,2026-01-07,2025-01-01,GTA,448,<$1M,Exempt,No,529644952RC0001,2026-02-03
TXN-00000107,BIZ-00336,Ontario Business 377,Crown Corporation,Retail,4311115.59,423065.36,2024-06-09,2024-04-01,Central,1482,$1-5M,Non-Compliant,No,837143541RC0001,2026-07-31
TXN-00000108,BIZ-00102,Ontario Business 29,Crown Corporation,Manufacturing,790071.54,267641.9,2025-02-10,2025-07-01,Niagara,4666,<$1M,Compliant,No,163477405RC0001,2026-06-10
TXN-00000109,BIZ-00273,Ontario Business 348,Cooperative,Education,3755285.13,42814.8,2024-04-30,2026-01-01,Ottawa,1749,$5-25M,Compliant,Yes,483969705RC0001,2026-01-09
TXN-00000110,BIZ-00487,Ontario Business 12,Crown Corporation,Retail,881542.32,636186.81,2025-03-06,2025-04-01,Eastern,2541,>$100M,Non-Compliant,No,463388114RC0001,2026-02-05
TXN-00000111,BIZ-00470,Ontario Business 221,Cooperative,Energy,305300.33,207990.53,2024-07-16,2025-04-01,Hamilton,4017,$5-25M,Compliant,Yes,541576419RC0001,2026-01-04
TXN-00000112,BIZ-00081,Ontario Business 261,Partnership,Mining,4386205.8,125040.62,2026-05-08,2026-01-01,Central,2943,>$100M,Exempt,No,705354207RC0001,2026-07-09
TXN-00000113,BIZ-00096,Ontario Business 31,Partnership,Healthcare,3365855.42,573054.29,2024-06-16,2024-10-01,Eastern,408,<$1M,Exempt,No,882257813RC0001,2026-03-01
TXN-00000114,BIZ-00011,Ontario Business 467,Cooperative,Manufacturing,3136264.23,647583.48,2025-09-09,2026-01-01,Hamilton,2288,$5-25M,Non-Compliant,Yes,344707164RC0001,2026-07-18
TXN-00000115,BIZ-00368,Ontario Business 500,Sole Proprietorship,Mining,3511415.11,224348.62,2025-04-12,2025-10-01,Hamilton,2314,<$1M,Non-Compliant,No,587928542RC0001,2026-02-03
TXN-00000116,BIZ-00135,Ontario Business 326,Cooperative,Education,3597139.58,593790.82,2025-05-07,2024-10-01,Durham,1730,$5-25M,Compliant,Yes,540311422RC0001,2026-04-26
TXN-00000117,BIZ-00322,Ontario Business 460,Cooperative,Healthcare,109894.2,387724.14,2025-03-28,2025-04-01,Southwestern,1424,>$100M,Under Review,Yes,170897020RC0001,2026-04-08
TXN-00000118,BIZ-00326,Ontario Business 133,Sole Proprietorship,Healthcare,644254.87,82408.16,2024-12-30,2025-07-01,Waterloo,3849,<$1M,Under Review,No,653748093RC0001,2026-06-01
TXN-00000119,BIZ-00037,Ontario Business 1,Partnership,Energy,2348392.68,372477.28,2024-03-31,2025-07-01,Durham,2139,$1-5M,Non-Compliant,No,506846325RC0001,2026-03-31
TXN-00000120,BIZ-00493,Ontario Business 60,Cooperative,Finance,4969507.55,144998.02,2024-07-28,2025-04-01,Southwestern,458,$25-100M,Compliant,Yes,544962872RC0001,2026-06-16
TXN-00000121,BIZ-00111,Ontario Business 37,Cooperative,Manufacturing,2955015.06,396767.24,2024-10-26,2025-01-01,Central,3685,>$100M,Non-Compliant,No,765051530RC0001,2026-01-06
TXN-00000122,BIZ-00381,Ontario Business 242,Sole Proprietorship,Healthcare,781077.94,106383.38,2025-10-14,2024-07-01,Ottawa,1495,$25-100M,Non-Compliant,Yes,201641562RC0001,2026-06-18
TXN-00000123,BIZ-00262,Ontario Business 41,Partnership,Retail,1313616.63,322311.34,2025-07-20,2025-01-01,Hamilton,3734,<$1M,Exempt,Yes,497200439RC0001,2026-01-08
TXN-00000124,BIZ-00228,Ontario Business 13,Non-Profit,Energy,4735062.73,469024.36,2025-10-15,2025-10-01,Northern,3153,$1-5M,Under Review,No,534504854RC0001,2026-02-15
TXN-00000125,BIZ-00478,Ontario Business 131,Cooperative,Manufacturing,650879.53,217628.17,2024-06-05,2024-04-01,Hamilton,4968,>$100M,Compliant,No,893184814RC0001,2026-05-06
TXN-00000126,BIZ-00021,Ontario Business 247,Non-Profit,Mining,4993734.45,482650.59,2025-10-18,2025-01-01,Hamilton,4951,>$100M,Exempt,No,812492019RC0001,2026-03-26
TXN-00000127,BIZ-00084,Ontario Business 359,Cooperative,Manufacturing,3101962.72,404152.93,2026-05-05,2025-01-01,Niagara,4635,<$1M,Non-Compliant,No,397545371RC0001,2026-03-10
TXN-00000128,BIZ-00056,Ontario Business 444,Cooperative,Mining,2727191.45,146022.65,2025-06-03,2025-07-01,Hamilton,4659,$1-5M,Under Review,No,968199093RC0001,2026-02-07
TXN-00000129,BIZ-00381,Ontario Business 310,Corporation,Healthcare,2097628.56,596668.67,2024-04-17,2025-07-01,Waterloo,4730,$5-25M,Under Review,No,405007298RC0001,2026-04-25
TXN-00000130,BIZ-00437,Ontario Business 411,Non-Profit,Construction,4788750.84,234790.11,2024-12-05,2025-01-01,Eastern,1678,<$1M,Exempt,Yes,176485751RC0001,2026-07-23
TXN-00000131,BIZ-00341,Ontario Business 110,Cooperative,Retail,4086595.23,214221.18,2025-01-27,2024-07-01,Waterloo,3466,<$1M,Exempt,No,487379468RC0001,2026-06-11
TXN-00000132,BIZ-00026,Ontario Business 73,Corporation,Technology,4009054.16,510853.66,2024-06-24,2026-01-01,Durham,3475,$5-25M,Non-Compliant,No,160560247RC0001,2026-07-16
TXN-00000133,BIZ-00003,Ontario Business 180,Corporation,Finance,4711545.53,147825.39,2026-07-08,2024-04-01,Niagara,1584,<$1M,Compliant,No,331676721RC0001,2026-05-07
TXN-00000134,BIZ-00428,Ontario Business 460,Crown Corporation,Mining,1041761.27,474646.94,2025-04-23,2024-10-01,Hamilton,2351,$25-100M,Under Review,Yes,524366621RC0001,2026-05-12
TXN-00000135,BIZ-00347,Ontario Business 313,Crown Corporation,Energy,972979.56,49954.43,2026-06-21,2025-07-01,Northern,2132,$1-5M,Exempt,Yes,804728670RC0001,2026-01-07
TXN-00000136,BIZ-00228,Ontario Business 167,Crown Corporation,Mining,964883.28,63157.03,2026-05-31,2025-04-01,Southwestern,4987,$5-25M,Compliant,No,808411421RC0001,2026-03-11
TXN-00000137,BIZ-00162,Ontario Business 497,Cooperative,Mining,4856016.6,493862.22,2025-10-29,2025-10-01,Northern,2153,$1-5M,Non-Compliant,Yes,717078759RC0001,2026-07-03
TXN-00000138,BIZ-00425,Ontario Business 73,Crown Corporation,Construction,4706324.81,48493.22,2024-12-29,2026-01-01,Eastern,3392,>$100M,Non-Compliant,Yes,794771922RC0001,2026-04-24
