CLIENT_ID,RETENTION_RATE,SERVICE_PROGRAM,SATISFACTION_SCORE,CHURN_RISK_INDICATOR,REGION,QUARTER,ENGAGEMENT_FREQUENCY,PROGRAM_TYPE,SERVICE_CATEGORY,CASE_LOAD,RENEWAL_COUNT,DROPOUT_COUNT,AVG_INTERACTION_DAYS,FIRST_CONTACT_DATE,LAST_CONTACT_DATE,REFERRAL_SOURCE,CASE_COMPLEXITY,NET_PROMOTER_SCORE,RESPONSE_TIME_HOURS,DIGITAL_ENGAGEMENT_PCT,IN_PERSON_VISITS,PHONE_INTERACTIONS,EMAIL_INTERACTIONS,BENEFITS_AMOUNT,COST_PER_CLIENT,FISCAL_YEAR,DATA_QUALITY_SCORE,LAST_UPDATED
CLT-000026,0.807,Community Living,6.0,Low,Ottawa,2025-04-01,8,Community,Disability,88,5,2,45.2,2022-12-23,2025-12-19,Family Doctor,Complex,50,24.2,69.7,8,9,16,6148.18,36342.93,FY2024-25,73.6,2026-05-18
CLT-000027,0.961,Child Care Subsidy,4.3,High,Hamilton,2025-04-01,24,Youth,Child Care,59,2,1,35.7,2021-09-11,2025-01-15,Hospital,Standard,-15,70.2,57.0,4,20,48,12526.53,43763.27,FY2025-26,78.5,2026-05-03
CLT-000028,0.66,Child Care Subsidy,9.6,Medium,Hamilton,2024-07-01,3,Community,Housing,28,4,0,17.9,2024-07-19,2026-07-31,Court,Simple,11,9.0,75.0,19,19,50,15651.25,39008.98,FY2024-25,83.5,2026-04-24
CLT-000029,0.575,Family Support,5.1,High,GTA,2024-07-01,7,Disability,Youth,30,1,1,19.8,2020-06-02,2025-06-10,Self-Referral,Standard,37,49.8,49.9,1,7,18,17820.42,35446.39,FY2024-25,72.1,2026-03-01
CLT-000030,0.945,Home Care,5.9,High,Eastern,2024-10-01,9,Home Care,Child Care,25,1,2,55.6,2023-03-11,2025-10-23,Online Portal,Simple,39,49.7,69.5,8,16,34,12597.98,4941.65,FY2023-24,96.7,2026-07-08
CLT-000031,0.59,Employment Services,3.2,Low,Waterloo,2024-04-01,22,Youth,Employment,54,3,3,82.9,2021-01-06,2026-03-23,Online Portal,Simple,40,25.4,38.3,3,27,10,8580.19,34990.01,FY2024-25,89.9,2026-04-13
CLT-000032,0.88,Ontario Works,6.1,Medium,Southwestern,2025-07-01,4,Community,Employment,148,3,3,9.6,2022-11-27,2026-01-06,Online Portal,Complex,36,54.8,27.3,17,4,18,11233.84,35214.25,FY2023-24,70.9,2026-06-11
CLT-000033,0.759,Home Care,7.8,Medium,Durham,2024-04-01,18,Community,Child Care,67,0,3,85.5,2023-08-19,2025-06-07,Online Portal,Complex,17,36.9,33.2,15,15,15,11691.27,8087.46,FY2023-24,97.7,2026-05-11
CLT-000034,0.84,Child Care Subsidy,8.9,Medium,Niagara,2025-07-01,17,Youth,Employment,82,5,2,76.2,2023-04-02,2026-05-17,Hospital,Standard,48,35.1,38.3,17,12,29,23354.88,43610.48,FY2025-26,77.2,2026-04-09
CLT-000035,0.538,Family Support,3.3,High,Hamilton,2025-10-01,13,Home Care,Housing,19,1,2,78.9,2022-06-20,2025-04-13,Online Portal,Simple,72,10.8,84.0,4,2,30,19647.37,13986.12,FY2025-26,90.8,2026-06-16
CLT-000036,0.447,Youth Services,8.8,High,Niagara,2025-07-01,21,Housing,Employment,27,1,2,89.8,2024-03-09,2025-04-03,Family Doctor,Simple,77,45.8,84.2,14,5,44,7836.92,2418.42,FY2024-25,93.9,2026-03-17
CLT-000037,0.611,Family Support,4.0,High,Niagara,2024-10-01,6,Home Care,Child Care,107,4,1,47.3,2023-04-09,2025-05-27,School,Standard,61,18.7,31.7,0,28,29,22579.63,34202.93,FY2023-24,72.2,2026-03-30
CLT-000038,0.983,Employment Services,7.3,Medium,Southwestern,2026-01-01,10,Disability,Community,133,0,1,37.4,2022-01-05,2025-10-30,Court,Simple,64,28.8,10.7,1,29,38,18756.72,41809.11,FY2024-25,93.3,2026-02-28
CLT-000039,0.758,Youth Services,4.5,Low,Waterloo,2025-04-01,22,Home Care,Child Care,20,2,3,7.8,2022-01-17,2025-05-15,Community Agency,Standard,21,53.9,24.9,4,25,34,21973.28,18927.02,FY2025-26,97.4,2026-08-01
CLT-000040,0.497,Community Living,9.6,Medium,Central,2024-07-01,15,Child Care,Home Care,67,5,3,87.2,2024-07-05,2026-07-25,Other Ministry,Simple,30,1.5,55.6,14,11,43,18850.78,13845.91,FY2024-25,94.7,2026-04-06
CLT-000041,0.464,Home Care,6.2,High,Durham,2025-07-01,20,Disability,Child Care,128,5,2,60.2,2020-08-26,2025-05-24,Self-Referral,Simple,18,71.7,19.9,7,28,34,3823.77,23228.54,FY2025-26,98.5,2026-06-28
CLT-000042,0.958,Family Support,7.0,High,Northern,2025-10-01,21,Child Care,Housing,114,2,0,63.7,2021-03-20,2026-03-31,Online Portal,Simple,26,7.6,68.3,17,28,41,9287.51,20508.84,FY2023-24,99.0,2026-07-30
CLT-000043,0.668,Home Care,7.4,High,GTA,2024-04-01,11,Disability,Home Care,62,0,1,54.8,2024-07-23,2025-08-27,Other Ministry,Simple,80,64.9,10.2,4,4,34,6641.03,9550.36,FY2025-26,96.0,2026-02-03
CLT-000044,0.409,Home Care,7.0,Low,Northern,2025-04-01,2,Home Care,Community,144,0,0,45.5,2024-05-12,2026-01-06,Community Agency,Standard,44,16.3,62.3,16,9,29,16261.85,2526.38,FY2024-25,95.4,2026-04-20
CLT-000045,0.805,Community Living,7.8,Medium,Ottawa,2024-07-01,11,Home Care,Child Care,42,2,2,37.4,2023-05-08,2026-06-28,Court,Standard,44,43.8,18.4,3,27,41,16447.46,38679.17,FY2025-26,96.0,2026-04-21
CLT-000046,0.666,Home Care,5.8,Medium,Niagara,2025-10-01,24,Child Care,Family,119,2,2,36.8,2020-11-08,2026-05-01,Community Agency,Simple,-10,7.2,18.2,11,25,8,14131.08,29736.79,FY2025-26,86.9,2026-06-21
CLT-000047,0.472,Youth Services,8.9,Medium,GTA,2025-04-01,20,Youth,Family,36,4,1,18.2,2022-09-14,2025-08-18,Community Agency,Standard,51,26.8,74.8,18,7,27,21206.3,48752.78,FY2025-26,88.4,2026-06-14
CLT-000048,0.728,Employment Services,3.2,Medium,Southwestern,2025-07-01,12,Employment,Home Care,46,4,3,10.9,2024-02-26,2025-02-01,Community Agency,Complex,47,15.9,45.7,10,5,23,8135.12,16894.76,FY2025-26,87.9,2026-01-14
CLT-000049,0.492,Ontario Works,7.6,Medium,Hamilton,2025-10-01,16,Housing,Community,79,1,0,34.3,2020-08-15,2025-10-18,Online Portal,Complex,65,22.6,28.7,19,1,0,5508.37,47320.88,FY2023-24,92.9,2026-03-16
CLT-000050,0.594,Ontario Works,6.4,Medium,Northern,2024-10-01,13,Disability,Family,28,3,0,42.1,2022-07-30,2025-03-21,Other Ministry,Complex,34,41.5,70.3,13,9,7,10423.29,48343.78,FY2023-24,94.0,2026-06-08
CLT-000051,0.671,Youth Services,3.6,Low,Eastern,2025-10-01,19,Community,Child Care,111,2,2,23.8,2024-05-14,2025-06-22,Community Agency,Complex,61,8.7,53.3,11,11,46,23976.47,32626.71,FY2023-24,77.1,2026-02-07
CLT-000052,0.551,Child Care Subsidy,7.1,High,Ottawa,2024-10-01,21,Housing,Housing,124,5,2,78.5,2023-07-08,2025-11-20,Hospital,Standard,-12,34.0,63.7,8,18,3,9122.58,4635.34,FY2024-25,83.6,2026-01-15
CLT-000053,0.618,Employment Services,3.5,Low,Waterloo,2025-10-01,15,Employment,Housing,58,2,3,47.6,2020-05-06,2026-04-07,Community Agency,Standard,71,6.5,64.9,1,7,45,11225.08,22531.67,FY2025-26,88.3,2026-04-04
CLT-000054,0.62,Employment Services,5.6,Medium,Waterloo,2024-04-01,21,Family,Child Care,94,0,3,29.2,2024-01-22,2025-06-03,Other Ministry,Simple,54,47.9,87.9,9,30,41,17612.76,20205.94,FY2025-26,91.3,2026-01-22
CLT-000055,0.583,Family Support,7.4,Medium,Northern,2024-07-01,21,Community,Family,14,2,2,20.3,2021-03-14,2025-12-16,Online Portal,Simple,8,72.0,23.2,9,27,50,2977.95,38772.86,FY2025-26,96.5,2026-01-10
CLT-000056,0.791,Child Care Subsidy,7.1,Low,Northern,2024-10-01,23,Home Care,Housing,21,3,2,62.5,2021-05-01,2026-03-31,Court,Complex,80,32.6,55.4,9,30,50,11990.88,41920.56,FY2024-25,90.3,2026-05-27
CLT-000057,0.981,Community Living,8.2,Medium,Durham,2025-10-01,6,Disability,Home Care,74,0,3,79.3,2023-02-09,2025-04-16,Community Agency,Standard,-10,55.1,33.2,16,4,27,2746.98,45614.74,FY2024-25,96.5,2026-01-07
CLT-000058,0.645,Family Support,6.4,Low,Niagara,2024-07-01,12,Disability,Employment,91,0,2,72.3,2020-10-08,2025-02-09,Court,Standard,69,59.9,74.5,15,14,39,628.65,4882.06,FY2024-25,76.5,2026-02-08
CLT-000059,0.724,Family Support,3.8,Medium,Eastern,2025-04-01,4,Employment,Disability,117,5,3,10.3,2022-10-20,2026-07-03,Self-Referral,Complex,45,41.6,71.1,9,13,0,15562.83,12787.65,FY2024-25,75.6,2026-06-21
CLT-000060,0.451,Youth Services,3.5,High,Durham,2024-04-01,13,Housing,Employment,109,2,2,68.5,2022-01-01,2025-03-11,Other Ministry,Simple,73,47.5,18.8,18,23,48,8646.71,3172.45,FY2025-26,80.2,2026-06-14
CLT-000061,0.503,Community Living,9.7,Medium,Northern,2024-10-01,3,Housing,Employment,85,1,0,72.2,2020-03-26,2025-11-20,Court,Complex,30,71.2,56.2,8,1,48,16349.06,15019.43,FY2023-24,96.0,2026-03-26
CLT-000062,0.561,Youth Services,6.0,Medium,Hamilton,2025-10-01,11,Home Care,Housing,137,2,2,73.1,2024-01-29,2026-03-11,Community Agency,Standard,57,71.6,25.3,9,10,6,2461.69,33385.04,FY2024-25,83.4,2026-07-03
CLT-000063,0.651,Community Living,5.4,Low,Central,2025-10-01,9,Employment,Child Care,113,2,1,86.0,2020-10-19,2026-03-25,Self-Referral,Simple,-12,17.4,64.8,11,12,36,1293.44,8518.47,FY2024-25,98.5,2026-04-06
CLT-000064,0.662,ODSP,6.9,High,Central,2025-10-01,11,Youth,Disability,39,0,1,47.4,2022-03-03,2026-07-30,Community Agency,Standard,79,19.1,47.9,19,9,44,22953.73,25068.81,FY2023-24,74.1,2026-01-19
CLT-000065,0.667,Community Living,9.8,High,Central,2025-07-01,23,Child Care,Youth,86,1,1,72.5,2022-11-07,2025-08-18,Community Agency,Simple,-3,17.4,52.0,11,17,36,9538.32,40379.42,FY2025-26,73.9,2026-01-23
CLT-000066,0.439,Family Support,9.8,High,Hamilton,2025-10-01,14,Child Care,Home Care,91,5,0,43.2,2023-10-24,2026-06-14,Other Ministry,Simple,79,39.9,60.0,4,13,32,22812.45,3715.23,FY2023-24,85.5,2026-03-19
CLT-000067,0.497,Youth Services,9.4,Low,Central,2025-04-01,3,Youth,Disability,80,1,2,57.2,2020-07-10,2026-05-30,Hospital,Complex,54,11.5,66.0,19,10,36,1509.26,43325.28,FY2023-24,71.4,2026-06-14
CLT-000068,0.855,Employment Services,7.4,High,Niagara,2024-04-01,16,Youth,Youth,133,1,3,30.3,2020-05-29,2025-03-03,Hospital,Standard,33,35.1,27.3,19,4,20,21606.38,16646.5,FY2024-25,99.3,2026-02-03
CLT-000069,0.849,ODSP,5.2,Medium,Ottawa,2025-04-01,15,Disability,Home Care,34,0,2,85.4,2023-06-14,2026-03-05,School,Simple,21,67.3,71.3,6,24,10,12707.51,26221.52,FY2024-25,96.4,2026-05-08
CLT-000070,0.414,Family Support,6.4,Low,Eastern,2025-07-01,2,Employment,Youth,136,4,3,29.3,2020-01-17,2025-04-21,Family Doctor,Simple,13,52.5,74.9,11,1,25,1753.36,28529.03,FY2024-25,86.6,2026-01-19
CLT-000071,0.628,Community Living,8.2,Medium,Waterloo,2024-07-01,5,Child Care,Community,105,2,2,69.2,2021-02-11,2026-06-06,Family Doctor,Complex,-15,3.7,21.6,10,25,30,13223.65,8298.09,FY2025-26,74.2,2026-06-06
CLT-000072,0.588,Family Support,9.7,High,Southwestern,2025-07-01,17,Housing,Youth,131,0,2,33.2,2020-08-12,2026-03-03,Court,Complex,68,45.5,60.7,8,30,41,19681.15,39031.94,FY2025-26,76.8,2026-01-14
CLT-000073,0.744,Child Care Subsidy,6.6,High,Waterloo,2025-10-01,5,Disability,Employment,38,1,0,42.5,2022-05-07,2025-06-05,Family Doctor,Complex,6,29.8,75.9,15,27,47,18321.35,35582.99,FY2025-26,76.2,2026-03-25
CLT-000074,0.989,Community Living,6.6,Medium,Northern,2026-01-01,18,Family,Family,77,4,3,21.3,2021-05-19,2025-10-13,Court,Simple,18,55.6,69.9,15,10,30,9045.68,46751.32,FY2025-26,78.2,2026-02-01
CLT-000075,0.738,Family Support,9.1,Medium,Central,2024-10-01,10,Employment,Youth,30,2,3,60.8,2024-03-10,2026-05-06,School,Simple,48,19.9,57.8,8,4,6,15584.09,29754.69,FY2023-24,71.5,2026-05-16
CLT-000076,0.533,Home Care,3.4,Medium,Central,2026-01-01,4,Home Care,Employment,150,1,3,60.5,2022-09-01,2026-05-04,School,Standard,21,20.9,15.0,2,20,36,6189.39,37195.64,FY2023-24,97.4,2026-02-14
CLT-000077,0.647,Child Care Subsidy,9.4,Low,Niagara,2026-01-01,6,Youth,Employment,12,2,0,83.9,2021-11-17,2025-10-19,Online Portal,Complex,49,38.0,85.6,4,27,32,11966.51,10447.76,FY2023-24,79.9,2026-07-07
CLT-000078,0.671,Employment Services,7.9,Low,Central,2025-04-01,19,Disability,Home Care,113,3,2,12.4,2023-10-02,2025-04-08,Hospital,Simple,41,23.6,31.1,8,12,15,11445.02,14082.72,FY2024-25,79.1,2026-07-05
CLT-000079,0.738,Employment Services,7.4,High,Eastern,2024-04-01,22,Child Care,Housing,88,1,3,63.3,2023-12-11,2025-11-15,Community Agency,Complex,17,26.8,28.8,4,15,9,11646.98,49453.06,FY2024-25,82.5,2026-05-21
CLT-000080,0.939,Home Care,8.2,High,Waterloo,2024-07-01,17,Housing,Family,29,4,0,10.2,2023-01-26,2026-06-02,School,Complex,48,11.2,37.9,16,14,7,17167.23,36128.98,FY2024-25,72.7,2026-05-11
CLT-000081,0.663,Ontario Works,6.1,High,Niagara,2026-01-01,19,Employment,Housing,88,5,0,38.7,2024-07-30,2025-01-04,School,Complex,-11,3.7,39.3,2,17,3,23397.28,4381.94,FY2024-25,71.0,2026-04-15
CLT-000082,0.506,Child Care Subsidy,8.2,High,Niagara,2025-07-01,13,Housing,Community,106,0,1,60.6,2021-12-13,2025-05-02,Hospital,Complex,30,38.3,71.9,7,26,0,19026.4,48946.04,FY2024-25,90.2,2026-05-20
CLT-000083,0.65,Family Support,8.6,Low,Hamilton,2025-07-01,5,Youth,Disability,38,0,3,57.3,2020-02-02,2025-09-04,School,Simple,-8,43.0,47.9,1,7,47,1583.8,22509.18,FY2025-26,76.5,2026-07-18
CLT-000084,0.433,Employment Services,4.6,High,Waterloo,2025-07-01,19,Family,Disability,87,1,1,40.2,2021-07-17,2025-03-04,Hospital,Complex,66,31.0,52.1,11,30,41,16947.89,39504.43,FY2024-25,90.9,2026-04-15
CLT-000085,0.488,Family Support,4.3,High,Hamilton,2025-01-01,8,Youth,Home Care,128,0,3,87.3,2023-02-15,2026-06-27,Hospital,Standard,11,18.7,38.1,2,29,28,21254.77,5530.74,FY2025-26,94.9,2026-01-14
CLT-000086,0.558,Ontario Works,8.9,Low,Waterloo,2025-01-01,16,Disability,Family,87,0,1,84.7,2024-02-27,2025-05-01,Online Portal,Simple,69,43.7,27.4,7,17,20,19500.09,19652.43,FY2025-26,89.5,2026-03-20
CLT-000087,0.554,Community Living,6.2,High,Hamilton,2025-07-01,7,Family,Family,115,0,1,68.0,2020-02-03,2025-09-25,Family Doctor,Standard,-1,14.5,29.6,18,26,15,12732.89,33075.79,FY2025-26,80.1,2026-07-15
CLT-000088,0.885,Community Living,6.1,High,Central,2024-10-01,5,Housing,Home Care,148,5,0,49.5,2020-06-01,2025-02-19,Self-Referral,Standard,-3,60.7,29.7,4,0,13,12890.46,19286.83,FY2025-26,89.1,2026-06-07
CLT-000089,0.939,Community Living,3.1,High,Durham,2025-10-01,1,Employment,Youth,147,2,0,47.7,2023-11-30,2026-03-17,Hospital,Simple,-8,38.0,30.5,19,16,16,20472.75,14098.91,FY2024-25,72.4,2026-04-14
CLT-000090,0.671,Home Care,9.7,Low,Southwestern,2024-07-01,21,Employment,Child Care,113,3,3,52.0,2020-04-24,2025-01-10,Hospital,Simple,43,60.9,64.8,10,18,6,22422.38,46038.46,FY2023-24,76.3,2026-06-27
CLT-000091,0.924,Community Living,4.8,Low,Southwestern,2024-04-01,6,Family,Employment,63,4,1,68.9,2023-12-30,2026-02-12,Community Agency,Standard,0,40.8,58.2,12,21,34,8627.38,38024.85,FY2023-24,93.7,2026-06-26
CLT-000092,0.827,Youth Services,3.4,Medium,Eastern,2024-07-01,11,Community,Family,17,5,2,71.6,2022-07-11,2026-05-18,School,Standard,50,67.8,46.7,18,21,24,2599.51,31312.18,FY2023-24,91.4,2026-01-22
CLT-000093,0.558,Family Support,7.8,High,Northern,2025-10-01,11,Family,Child Care,33,0,2,42.8,2024-04-08,2025-10-04,Community Agency,Simple,-9,13.9,48.2,17,16,26,3030.68,5391.32,FY2025-26,72.8,2026-06-03
CLT-000094,0.863,Family Support,3.1,Medium,Niagara,2024-07-01,24,Disability,Home Care,107,1,1,27.9,2021-07-03,2026-05-20,Hospital,Simple,1,31.6,45.8,15,25,4,9347.56,47266.89,FY2025-26,88.8,2026-06-02
CLT-000095,0.764,Community Living,3.7,Medium,GTA,2025-10-01,11,Community,Family,122,2,3,74.3,2023-08-26,2025-05-20,Court,Standard,57,68.2,27.1,10,5,25,24233.77,15280.96,FY2025-26,89.0,2026-05-28
CLT-000096,0.861,Youth Services,5.6,Medium,Central,2024-07-01,19,Disability,Home Care,150,0,3,85.2,2021-03-05,2026-03-25,Court,Complex,-12,59.1,77.6,13,21,31,3909.89,15838.8,FY2024-25,89.8,2026-07-03
CLT-000097,0.65,Family Support,3.5,High,Hamilton,2025-10-01,18,Community,Employment,102,5,0,14.3,2021-05-23,2025-12-30,Hospital,Complex,58,3.7,93.6,20,12,48,8624.12,40015.32,FY2023-24,70.3,2026-03-08
CLT-000098,0.531,Home Care,6.0,Medium,Hamilton,2024-10-01,12,Employment,Housing,36,2,3,83.2,2020-06-24,2025-04-29,Hospital,Standard,19,25.0,76.7,16,15,22,12165.98,22470.13,FY2025-26,83.6,2026-01-18
CLT-000099,0.577,ODSP,3.2,Medium,Ottawa,2024-10-01,24,Disability,Home Care,50,2,3,86.5,2021-04-19,2026-02-19,Hospital,Simple,61,47.5,43.6,19,28,12,11514.59,22048.09,FY2023-24,91.1,2026-02-22
CLT-000100,0.564,ODSP,6.9,High,Northern,2025-07-01,11,Disability,Housing,39,2,3,49.9,2023-08-01,2025-11-17,Family Doctor,Complex,30,42.5,39.6,14,19,11,20436.59,35593.43,FY2024-25,97.6,2026-06-01
CLT-000101,0.45,Child Care Subsidy,5.1,Low,Southwestern,2024-07-01,6,Family,Home Care,140,3,3,55.7,2023-03-23,2026-01-28,Family Doctor,Simple,42,45.9,68.9,20,29,11,14095.36,24992.46,FY2023-24,75.6,2026-04-26
CLT-000102,0.765,Youth Services,9.5,Medium,Northern,2025-01-01,13,Housing,Community,135,3,3,46.5,2020-06-18,2025-02-01,School,Standard,-16,20.2,55.7,5,24,29,14358.44,38854.83,FY2024-25,86.5,2026-01-29
CLT-000103,0.738,Employment Services,8.3,Medium,Durham,2024-04-01,24,Housing,Disability,118,0,1,30.3,2020-03-07,2026-04-06,Court,Standard,-9,31.9,94.5,7,6,47,14904.14,18180.91,FY2025-26,88.3,2026-04-20
CLT-000104,0.498,Child Care Subsidy,8.3,Low,GTA,2025-07-01,18,Youth,Home Care,92,5,2,29.6,2021-07-01,2026-06-11,Community Agency,Simple,76,56.7,88.1,8,27,41,3608.76,43437.86,FY2023-24,74.4,2026-03-24
CLT-000105,0.889,Family Support,6.3,High,Southwestern,2025-10-01,13,Housing,Child Care,33,3,2,64.0,2022-01-25,2026-04-11,Online Portal,Standard,54,0.7,75.8,2,23,29,16053.59,35167.16,FY2023-24,93.9,2026-04-12
CLT-000106,0.529,Family Support,8.6,Medium,Southwestern,2025-07-01,10,Family,Home Care,134,2,0,8.9,2023-07-06,2026-04-16,Self-Referral,Simple,0,32.1,10.1,13,6,44,22780.48,44225.24,FY2024-25,74.8,2026-03-12
CLT-000107,0.455,Youth Services,4.7,Medium,Northern,2024-04-01,13,Youth,Disability,119,5,0,64.8,2020-01-03,2025-08-07,Online Portal,Simple,-4,42.9,54.2,14,0,0,17542.13,41038.34,FY2024-25,90.8,2026-05-03
