STUDENT_ID,SCHOOL_ID,SCHOOL_NAME,SCHOOL_BOARD,GRADE_LEVEL,MATH_SCORE,READING_SCORE,GRADUATION_RATE,ATTENDANCE_RATE,POSTAL_CODE,REGION,PROGRAM_TYPE,SPECIAL_EDUCATION,ESL_FLAG,INDIGENOUS_FLAG,SOCIOECONOMIC_INDEX,LAST_UPDATED
STU-0000019,School_017,Elm Valley SS,YRDSB,11,56,55,0.823,0.556,K2H,Hamilton,IB,Yes,Yes,No,1.1,2026-03-07
STU-0000020,School_068,Pine Creek SS,HWDSB,9,76,71,0.815,0.738,N1N,Waterloo,AP,Yes,No,No,7.3,2026-03-30
STU-0000021,School_034,Elm Hill PS,WRDSB,12,90,71,0.755,0.796,L9I,Waterloo,AP,Yes,No,Yes,5.3,2026-01-21
STU-0000022,School_099,Maple Valley CI,HDSB,7,91,100,0.852,0.952,M9B,Ottawa,STEM,No,No,No,7.6,2026-03-17
STU-0000023,School_046,Oak Valley PS,PDSB,4,56,82,0.682,0.743,N4N,Hamilton,AP,No,No,No,2.3,2026-06-04
STU-0000024,School_069,Cedar Ridge SS,WRDSB,6,92,43,0.771,0.747,M8C,Southwestern,IB,Yes,Yes,Yes,2.4,2026-01-01
STU-0000025,School_076,Elm Hill CI,PDSB,7,70,58,0.917,0.653,N1H,Central,French Immersion,No,Yes,No,1.1,2026-05-14
STU-0000026,School_044,Birch Creek CI,HWDSB,12,93,73,0.885,0.841,L2I,Niagara,French Immersion,No,No,Yes,2.7,2026-06-23
STU-0000027,School_062,Cedar Hill PS,DDSB,4,74,90,0.873,0.84,P7O,Waterloo,Regular,Yes,Yes,No,8.7,2026-01-03
STU-0000028,School_072,Birch Ridge CI,DDSB,9,90,86,0.663,0.815,M7J,Waterloo,Regular,No,No,No,9.9,2026-07-21
STU-0000029,School_022,Pine Valley CI,WRDSB,7,40,61,0.811,0.98,M1K,Northern,French Immersion,No,Yes,No,5.4,2026-04-23
STU-0000030,School_041,Oak Park PS,WRDSB,6,93,79,0.899,0.574,L3M,Durham,IB,No,No,No,2.7,2026-01-31
STU-0000031,School_035,Pine Creek PS,OCDSB,12,83,43,0.899,0.815,N7B,Durham,French Immersion,No,No,Yes,4.9,2026-03-24
STU-0000032,School_013,Cedar Hill CI,WRDSB,12,45,80,0.919,0.996,L8G,GTA,STEM,Yes,No,Yes,7.6,2026-03-25
STU-0000033,School_090,Pine Hill PS,PDSB,3,44,73,0.706,0.743,N7H,Waterloo,Regular,No,Yes,No,5.9,2026-02-15
STU-0000034,School_040,Oak Valley SS,PDSB,7,40,87,0.766,0.872,K0F,Central,Arts,Yes,No,No,8.1,2026-02-08
STU-0000035,School_087,Pine Hill SS,HWDSB,12,73,80,0.69,0.643,N6C,Ottawa,AP,No,No,No,5.7,2026-04-24
STU-0000036,School_052,Cedar Creek CI,HDSB,11,66,59,0.711,0.615,K5I,Hamilton,STEM,No,No,Yes,6.0,2026-01-06
STU-0000037,School_059,Birch Valley CI,HDSB,7,50,51,0.711,0.654,M9D,GTA,French Immersion,No,Yes,No,8.0,2026-07-21
STU-0000038,School_042,Oak Ridge PS,HWDSB,6,40,91,0.949,0.884,N7E,Eastern,STEM,Yes,No,Yes,3.3,2026-06-02
STU-0000039,School_050,Cedar Ridge SS,PDSB,5,76,73,0.696,0.699,P8P,Durham,STEM,No,Yes,Yes,8.6,2026-05-26
STU-0000040,School_035,Cedar Park SS,YRDSB,11,42,81,0.918,0.637,M2J,Niagara,Arts,Yes,Yes,No,6.4,2026-04-08
STU-0000041,School_099,Birch Hill SS,YRDSB,5,100,40,0.631,0.634,P0B,Ottawa,STEM,Yes,Yes,No,9.4,2026-05-04
STU-0000042,School_089,Birch Valley PS,OCDSB,11,43,91,0.766,0.918,N1J,Niagara,STEM,No,Yes,No,7.9,2026-02-03
STU-0000043,School_066,Cedar Creek PS,HWDSB,12,49,47,0.709,0.748,L2L,Northern,STEM,No,Yes,No,2.8,2026-02-17
STU-0000044,School_019,Oak Hill SS,TDSB,11,62,99,0.619,0.974,N8A,Southwestern,AP,No,Yes,No,8.0,2026-03-10
STU-0000045,School_017,Birch Creek SS,HDSB,1,63,87,0.964,0.572,P6N,Hamilton,Arts,Yes,Yes,No,5.6,2026-06-28
STU-0000046,School_050,Elm Hill CI,PDSB,12,57,69,0.948,0.921,K2C,Southwestern,AP,Yes,Yes,No,2.2,2026-07-21
STU-0000047,School_051,Pine Valley PS,TDSB,7,92,68,0.937,0.886,P5J,Southwestern,AP,No,No,No,5.6,2026-02-05
STU-0000048,School_042,Pine Valley SS,HDSB,2,96,75,0.897,0.825,M6O,Hamilton,Regular,Yes,Yes,No,5.9,2026-04-02
STU-0000049,School_056,Pine Creek CI,TDSB,4,63,65,0.771,0.712,M5N,Southwestern,Regular,No,No,No,3.8,2026-02-11
STU-0000050,School_089,Oak Park PS,YRDSB,2,82,73,0.648,0.723,K1I,Eastern,Regular,Yes,Yes,Yes,9.8,2026-05-11
STU-0000051,School_010,Birch Valley SS,PDSB,3,56,73,0.843,0.73,M3P,Eastern,Arts,No,Yes,No,6.6,2026-07-13
STU-0000052,School_089,Maple Valley SS,HWDSB,3,56,40,0.941,0.518,L9C,Ottawa,French Immersion,Yes,Yes,Yes,3.1,2026-05-02
STU-0000053,School_074,Cedar Valley SS,PDSB,8,56,51,0.967,0.832,N5I,Durham,Arts,No,Yes,Yes,2.0,2026-02-02
STU-0000054,School_009,Elm Hill PS,HWDSB,5,42,68,0.797,0.632,K6M,Eastern,French Immersion,No,No,No,9.0,2026-03-09
STU-0000055,School_066,Cedar Park SS,HWDSB,6,82,61,0.947,0.947,P7N,Eastern,French Immersion,Yes,No,No,8.7,2026-02-14
STU-0000056,School_074,Cedar Park CI,OCDSB,3,57,59,0.635,0.941,N5G,Waterloo,STEM,No,No,No,4.3,2026-04-16
STU-0000057,School_018,Maple Hill PS,HDSB,4,87,61,0.815,0.532,N9B,Northern,IB,No,No,No,5.3,2026-06-10
STU-0000058,School_001,Elm Ridge CI,HDSB,1,51,89,0.627,0.741,L5K,GTA,Regular,No,Yes,No,8.2,2026-06-18
STU-0000059,School_058,Birch Creek PS,PDSB,9,57,61,0.86,0.72,L3C,Hamilton,Regular,No,No,No,9.9,2026-05-05
STU-0000060,School_055,Maple Ridge CI,YRDSB,9,97,87,0.891,0.787,K8M,Eastern,STEM,Yes,Yes,No,8.0,2026-02-26
STU-0000061,School_083,Birch Hill PS,DDSB,5,54,44,0.747,0.911,N0I,GTA,IB,Yes,Yes,No,3.3,2026-06-18
STU-0000062,School_056,Cedar Ridge PS,YRDSB,5,42,100,0.747,0.692,N8N,Niagara,French Immersion,Yes,Yes,No,2.8,2026-02-19
STU-0000063,School_099,Cedar Park CI,HDSB,9,43,69,0.776,0.722,L8H,Ottawa,French Immersion,Yes,Yes,No,5.6,2026-03-27
STU-0000064,School_020,Birch Ridge SS,HWDSB,10,75,72,0.91,0.849,N1D,Eastern,Arts,No,No,No,3.1,2026-01-15
STU-0000065,School_042,Pine Hill SS,OCDSB,6,100,63,0.877,0.528,P1P,Durham,AP,No,No,No,7.8,2026-05-17
STU-0000066,School_059,Oak Ridge PS,DDSB,2,89,44,0.601,0.6,K5H,Waterloo,Arts,No,Yes,No,5.5,2026-01-14
STU-0000067,School_004,Birch Ridge PS,PDSB,9,42,89,0.893,0.786,N3G,Ottawa,AP,No,No,No,9.8,2026-02-25
STU-0000068,School_041,Maple Hill PS,HWDSB,9,42,40,0.756,0.845,L8P,Eastern,Regular,Yes,Yes,No,6.9,2026-02-01
STU-0000069,School_072,Birch Valley PS,WRDSB,9,51,49,0.667,0.648,M5K,Ottawa,IB,Yes,No,No,9.8,2026-04-03
STU-0000070,School_037,Birch Creek SS,HDSB,12,45,45,0.843,0.974,N9A,Northern,Regular,Yes,No,No,8.2,2026-01-18
STU-0000071,School_082,Elm Hill CI,HWDSB,10,59,86,0.843,0.89,K7D,Northern,Arts,Yes,No,No,3.6,2026-05-14
STU-0000072,School_023,Cedar Park SS,PDSB,10,73,47,0.765,0.656,K3P,Eastern,Regular,Yes,Yes,Yes,4.6,2026-06-08
STU-0000073,School_077,Elm Hill CI,HWDSB,10,43,56,0.639,0.823,L0M,Eastern,French Immersion,Yes,No,No,8.3,2026-05-08
STU-0000074,School_026,Maple Hill CI,PDSB,7,58,99,0.749,0.931,M5L,Eastern,Regular,No,No,No,4.5,2026-01-20
STU-0000075,School_095,Birch Park SS,OCDSB,11,84,52,0.883,0.564,M9A,Eastern,AP,Yes,No,No,3.4,2026-05-11
STU-0000076,School_038,Pine Hill CI,OCDSB,7,54,50,0.851,0.824,K3P,Niagara,French Immersion,No,No,No,8.4,2026-04-21
STU-0000077,School_027,Pine Valley SS,OCDSB,12,93,82,0.92,0.729,N4B,Hamilton,AP,No,No,Yes,9.3,2026-07-16
STU-0000078,School_073,Cedar Park SS,DDSB,12,86,87,0.959,0.787,L4J,Waterloo,IB,Yes,No,No,3.7,2026-03-18
STU-0000079,School_097,Birch Valley PS,HDSB,4,75,56,0.807,0.967,N6C,GTA,Regular,No,No,No,9.6,2026-05-02
STU-0000080,School_006,Cedar Creek PS,HDSB,11,47,53,0.635,0.807,K8L,Durham,Regular,Yes,Yes,No,1.4,2026-07-17
STU-0000081,School_089,Elm Ridge SS,YRDSB,1,99,88,0.976,0.764,P3N,Durham,IB,No,No,Yes,7.5,2026-03-30
STU-0000082,School_097,Birch Hill SS,HWDSB,10,53,88,0.838,0.953,P1N,Waterloo,AP,No,No,Yes,3.7,2026-04-18
STU-0000083,School_035,Elm Valley CI,TDSB,8,71,51,0.969,0.972,P0F,Durham,French Immersion,No,Yes,Yes,6.2,2026-06-06
STU-0000084,School_098,Birch Creek CI,DDSB,4,70,69,0.721,0.856,N9G,GTA,IB,No,Yes,Yes,7.4,2026-05-18
STU-0000085,School_092,Oak Ridge CI,WRDSB,10,100,93,0.8,0.52,L4E,Central,Regular,No,Yes,No,4.2,2026-05-06
STU-0000086,School_061,Birch Creek SS,HWDSB,10,76,92,0.744,0.881,M9D,Durham,Regular,No,Yes,No,9.7,2026-07-17
STU-0000087,School_022,Cedar Park PS,HDSB,10,98,42,0.942,0.99,N3A,Hamilton,STEM,No,No,Yes,1.4,2026-07-10
STU-0000088,School_071,Maple Valley PS,DDSB,8,61,96,0.705,0.51,K1N,Waterloo,Arts,No,Yes,Yes,9.3,2026-07-25
STU-0000089,School_093,Oak Creek PS,HWDSB,9,97,47,0.757,0.542,K4G,Northern,Arts,No,Yes,No,5.7,2026-07-18
STU-0000090,School_040,Maple Ridge SS,DDSB,4,54,74,0.719,0.68,L7I,Ottawa,Arts,No,Yes,No,9.4,2026-01-28
STU-0000091,School_069,Birch Valley CI,DDSB,4,55,92,0.654,0.883,M9L,Ottawa,French Immersion,Yes,No,No,8.3,2026-06-12
STU-0000092,School_068,Cedar Creek CI,HDSB,1,73,68,0.721,0.916,N4B,Waterloo,Regular,No,Yes,No,2.9,2026-07-16
STU-0000093,School_049,Elm Valley PS,TDSB,9,49,55,0.671,0.937,M1K,GTA,Arts,Yes,No,No,6.8,2026-06-12
STU-0000094,School_013,Pine Hill SS,HWDSB,6,61,91,0.921,0.885,L7I,Ottawa,IB,No,No,No,5.3,2026-03-30
STU-0000095,School_045,Birch Ridge CI,DDSB,8,64,70,0.9,0.693,K4I,Hamilton,AP,No,Yes,No,1.7,2026-07-13
STU-0000096,School_011,Birch Ridge SS,HDSB,6,55,43,0.969,0.857,L3O,GTA,AP,No,No,Yes,2.9,2026-03-06
STU-0000097,School_028,Birch Ridge CI,OCDSB,7,45,76,0.858,0.763,K7H,GTA,AP,No,Yes,No,5.0,2026-04-30
STU-0000098,School_093,Maple Creek CI,HDSB,5,83,91,0.928,0.631,M7J,Central,Regular,Yes,Yes,No,6.4,2026-07-14
STU-0000099,School_079,Oak Hill CI,DDSB,8,97,88,0.871,0.798,N5C,Niagara,IB,No,No,No,8.8,2026-05-21
STU-0000100,School_074,Pine Park PS,HDSB,7,50,95,0.633,0.883,M8P,Southwestern,Arts,No,No,No,1.4,2026-07-05
STU-0000101,School_039,Elm Creek CI,PDSB,4,99,91,0.823,0.962,L1A,Southwestern,AP,No,Yes,No,7.3,2026-02-28
STU-0000102,School_001,Birch Park CI,YRDSB,3,64,51,0.688,0.819,L1L,Ottawa,French Immersion,No,Yes,Yes,5.2,2026-06-05
STU-0000103,School_086,Elm Ridge PS,HWDSB,11,84,67,0.701,0.564,L1K,GTA,Arts,Yes,No,No,6.0,2026-06-27
STU-0000104,School_061,Oak Creek SS,YRDSB,6,46,68,0.824,0.969,L2L,Northern,STEM,No,No,No,1.1,2026-03-13
STU-0000105,School_098,Cedar Park SS,PDSB,11,69,54,0.937,0.928,N7C,Central,AP,No,Yes,No,1.0,2026-01-02
STU-0000106,School_069,Birch Creek PS,OCDSB,1,78,96,0.674,0.584,N3L,Central,STEM,Yes,Yes,No,5.5,2026-05-21
STU-0000107,School_067,Cedar Hill CI,OCDSB,3,44,49,0.947,0.971,L6J,Ottawa,STEM,No,Yes,No,4.4,2026-06-17
STU-0000108,School_085,Pine Park CI,WRDSB,9,53,88,0.883,0.738,M3D,Southwestern,STEM,No,No,No,2.3,2026-05-11
STU-0000109,School_075,Cedar Park PS,WRDSB,8,65,98,0.66,0.712,M7D,Eastern,Arts,No,Yes,No,8.9,2026-06-01
STU-0000110,School_017,Maple Ridge SS,OCDSB,12,90,86,0.963,0.858,L1M,Central,AP,No,Yes,No,6.0,2026-01-04
STU-0000111,School_042,Cedar Hill PS,YRDSB,3,47,69,0.867,0.665,K6E,Eastern,French Immersion,Yes,Yes,Yes,2.3,2026-04-18
STU-0000112,School_094,Cedar Ridge SS,HDSB,12,89,52,0.917,0.788,P8A,GTA,STEM,No,Yes,No,6.1,2026-01-31
STU-0000113,School_048,Elm Creek SS,PDSB,4,94,48,0.665,0.532,L9L,Southwestern,French Immersion,Yes,Yes,No,2.4,2026-02-24
STU-0000114,School_054,Maple Park SS,HWDSB,9,82,40,0.734,0.952,P9K,Northern,AP,No,Yes,No,1.6,2026-03-15
STU-0000115,School_090,Cedar Ridge SS,TDSB,5,95,67,0.922,0.828,K8F,Durham,French Immersion,Yes,Yes,No,4.7,2026-01-10
STU-0000116,School_071,Cedar Ridge PS,PDSB,6,50,80,0.79,0.911,N6O,Southwestern,AP,No,Yes,Yes,8.9,2026-03-28
STU-0000117,School_053,Elm Ridge PS,WRDSB,5,96,64,0.839,0.772,L5B,GTA,IB,No,No,No,4.7,2026-04-04
STU-0000118,School_058,Birch Creek SS,YRDSB,2,80,64,0.852,0.573,N8C,Waterloo,French Immersion,Yes,Yes,No,8.8,2026-05-05
STU-0000119,School_081,Cedar Creek PS,PDSB,6,65,92,0.929,0.756,N8A,Northern,French Immersion,No,Yes,No,5.3,2026-01-28
STU-0000120,School_036,Elm Hill CI,PDSB,11,54,65,0.695,0.838,N6F,Niagara,Regular,Yes,Yes,No,8.1,2026-07-27
STU-0000121,School_072,Pine Hill SS,TDSB,12,95,74,0.788,0.534,L0N,Central,Arts,Yes,No,No,8.5,2026-03-23
STU-0000122,School_061,Pine Park SS,OCDSB,7,84,67,0.77,0.627,M5L,Hamilton,Regular,Yes,Yes,No,8.4,2026-05-24
STU-0000123,School_097,Pine Park CI,PDSB,8,57,99,0.861,0.605,P8C,Durham,STEM,Yes,No,Yes,8.1,2026-06-01
STU-0000124,School_043,Cedar Valley CI,WRDSB,5,85,61,0.686,0.826,M7I,Ottawa,IB,Yes,No,No,8.8,2026-01-25
STU-0000125,School_097,Cedar Park CI,YRDSB,4,100,94,0.633,0.603,L3M,Northern,Regular,No,No,No,1.5,2026-06-04
STU-0000126,School_030,Oak Ridge CI,OCDSB,8,84,80,0.746,0.533,K1I,Central,IB,No,Yes,No,9.7,2026-06-01
STU-0000127,School_095,Cedar Park SS,OCDSB,1,74,65,0.67,0.724,N9I,Northern,Regular,No,Yes,Yes,7.0,2026-01-25
STU-0000128,School_070,Birch Creek SS,HDSB,12,89,91,0.735,0.961,N2C,Durham,STEM,Yes,Yes,No,3.1,2026-04-11
STU-0000129,School_005,Oak Hill CI,YRDSB,3,97,75,0.765,0.835,N0I,Southwestern,Regular,No,No,No,8.9,2026-01-16
STU-0000130,School_056,Maple Creek SS,PDSB,7,72,72,0.844,0.709,M4G,Hamilton,Arts,Yes,No,Yes,3.7,2026-01-05
STU-0000131,School_069,Elm Creek PS,YRDSB,6,49,87,0.983,0.723,N9B,Hamilton,Arts,Yes,Yes,No,3.7,2026-07-31
STU-0000132,School_068,Elm Hill CI,WRDSB,9,70,53,0.706,0.658,N1O,Waterloo,STEM,No,No,No,7.6,2026-05-31
STU-0000133,School_034,Cedar Valley SS,HWDSB,2,63,51,0.604,0.774,K5B,Northern,Arts,Yes,No,Yes,8.0,2026-07-11
STU-0000134,School_022,Birch Hill SS,HDSB,12,81,93,0.673,0.835,P6M,Southwestern,Regular,Yes,Yes,Yes,2.2,2026-03-01
STU-0000135,School_091,Pine Park CI,OCDSB,1,82,71,0.845,0.926,M8G,Hamilton,Regular,Yes,No,No,5.5,2026-06-09
STU-0000136,School_074,Elm Creek SS,PDSB,10,95,65,0.986,0.576,L4K,Southwestern,Regular,No,No,No,8.9,2026-04-22
STU-0000137,School_070,Birch Ridge CI,TDSB,4,49,86,0.686,0.851,L8D,Waterloo,IB,Yes,Yes,Yes,1.9,2026-04-04
STU-0000138,School_090,Elm Creek CI,YRDSB,10,91,53,0.864,0.634,P8G,Northern,Regular,Yes,No,No,6.3,2026-03-22
STU-0000139,School_022,Oak Ridge SS,OCDSB,7,85,56,0.969,0.724,N1K,Hamilton,STEM,Yes,No,Yes,2.8,2026-05-16
STU-0000140,School_062,Oak Ridge PS,PDSB,8,72,73,0.963,0.802,K1I,Southwestern,Arts,No,No,No,9.7,2026-06-03
STU-0000141,School_085,Oak Valley SS,HDSB,3,64,43,0.71,0.642,P0E,Central,STEM,Yes,Yes,Yes,3.1,2026-07-09
STU-0000142,School_005,Birch Creek CI,TDSB,3,61,81,0.692,0.684,K4J,Hamilton,STEM,Yes,Yes,No,3.7,2026-05-04
STU-0000143,School_062,Birch Ridge CI,OCDSB,7,72,62,0.76,0.984,L0L,Northern,Arts,No,Yes,Yes,3.7,2026-03-17
STU-0000144,School_032,Elm Park PS,WRDSB,7,56,88,0.74,0.579,K9J,Durham,Regular,No,Yes,No,1.9,2026-07-22
STU-0000145,School_069,Pine Park PS,HDSB,9,93,51,0.926,0.712,K5J,Central,Arts,Yes,No,No,1.8,2026-06-04
STU-0000146,School_045,Cedar Creek SS,HDSB,7,71,65,0.609,0.586,L4B,Ottawa,Regular,No,Yes,No,7.8,2026-03-23
STU-0000147,School_094,Pine Creek CI,TDSB,4,97,70,0.664,0.975,N8O,Durham,IB,No,Yes,No,8.4,2026-01-13
STU-0000148,School_047,Cedar Creek CI,OCDSB,9,98,65,0.967,0.971,N4K,Northern,Arts,No,No,No,4.0,2026-02-06
STU-0000149,School_021,Elm Creek PS,OCDSB,5,71,87,0.672,0.915,M8C,Hamilton,French Immersion,No,No,No,7.9,2026-04-06
STU-0000150,School_065,Birch Valley CI,WRDSB,3,61,76,0.751,0.885,N4D,Ottawa,STEM,Yes,Yes,Yes,3.2,2026-03-23
STU-0000151,School_015,Maple Ridge SS,HWDSB,8,56,98,0.86,0.802,N2F,GTA,French Immersion,Yes,No,No,8.0,2026-03-20
STU-0000152,School_017,Oak Creek CI,HWDSB,11,57,83,0.773,0.77,K7I,GTA,French Immersion,No,Yes,No,6.7,2026-07-10
STU-0000153,School_094,Maple Creek PS,OCDSB,8,61,46,0.741,0.812,L2G,GTA,IB,No,Yes,No,2.5,2026-04-14
STU-0000154,School_074,Cedar Valley SS,PDSB,1,77,92,0.828,0.805,L1F,Southwestern,Arts,No,No,Yes,6.4,2026-01-17
STU-0000155,School_016,Maple Valley CI,PDSB,10,68,92,0.916,0.936,N9I,Ottawa,Regular,Yes,No,No,2.9,2026-03-06
STU-0000156,School_084,Cedar Ridge PS,HWDSB,9,40,76,0.611,0.617,M7D,Durham,AP,Yes,Yes,No,4.7,2026-02-23
STU-0000157,School_010,Oak Park SS,OCDSB,2,89,94,0.823,0.61,K8P,Ottawa,AP,Yes,No,No,1.3,2026-07-03
STU-0000158,School_061,Maple Park CI,PDSB,6,98,100,0.875,0.592,M0P,Eastern,STEM,No,No,No,8.9,2026-01-20
STU-0000159,School_004,Cedar Valley PS,OCDSB,9,92,72,0.832,0.556,P4B,Southwestern,Arts,No,Yes,No,4.0,2026-07-04
STU-0000160,School_003,Birch Creek PS,TDSB,4,46,47,0.815,0.505,P0D,Niagara,AP,No,No,No,9.0,2026-06-14
STU-0000161,School_008,Birch Park SS,OCDSB,5,60,61,0.731,0.759,M0B,Southwestern,French Immersion,No,No,No,5.9,2026-01-25
STU-0000162,School_032,Cedar Creek SS,OCDSB,8,60,93,0.699,0.677,M4H,GTA,French Immersion,Yes,No,No,6.5,2026-06-01
STU-0000163,School_073,Oak Ridge SS,YRDSB,11,94,87,0.765,0.834,N7K,Central,IB,No,No,Yes,4.0,2026-05-02
STU-0000164,School_071,Birch Hill SS,YRDSB,4,95,78,0.603,0.802,L0E,Ottawa,Arts,No,No,Yes,4.6,2026-07-19
STU-0000165,School_043,Birch Creek SS,HWDSB,2,74,73,0.791,0.557,P7F,Eastern,IB,Yes,No,Yes,8.1,2026-04-05
STU-0000166,School_065,Cedar Hill SS,TDSB,6,62,72,0.637,0.831,P1E,Northern,IB,Yes,No,No,4.1,2026-05-12
STU-0000167,School_006,Birch Hill SS,WRDSB,10,43,89,0.652,0.795,M0I,Ottawa,STEM,Yes,Yes,No,6.5,2026-07-22
STU-0000168,School_086,Oak Creek PS,YRDSB,3,60,75,0.717,0.905,M4A,Waterloo,French Immersion,Yes,No,No,9.8,2026-07-31
STU-0000169,School_023,Cedar Hill CI,TDSB,9,51,74,0.772,0.59,K8L,Niagara,STEM,No,No,No,4.3,2026-06-22
STU-0000170,School_068,Cedar Valley PS,OCDSB,12,82,64,0.685,0.889,N9K,Durham,Regular,Yes,Yes,No,6.0,2026-06-03
STU-0000171,School_012,Cedar Creek SS,WRDSB,2,100,66,0.735,0.944,M1N,Eastern,Arts,Yes,Yes,No,3.2,2026-07-10
STU-0000172,School_029,Maple Creek SS,HWDSB,10,70,71,0.772,0.526,K5D,Waterloo,Arts,No,Yes,Yes,3.1,2026-04-17
STU-0000173,School_078,Pine Ridge CI,WRDSB,12,63,78,0.792,0.909,M4K,Ottawa,Arts,No,Yes,No,4.3,2026-04-06
STU-0000174,School_066,Pine Park PS,WRDSB,6,77,51,0.605,0.951,M3J,Durham,French Immersion,Yes,Yes,No,4.8,2026-02-20
STU-0000175,School_065,Oak Valley CI,TDSB,3,75,80,0.782,0.606,K9I,Ottawa,Regular,No,Yes,No,8.5,2026-04-29
STU-0000176,School_070,Pine Park CI,HDSB,6,75,64,0.853,0.924,P5P,Southwestern,French Immersion,Yes,Yes,Yes,4.7,2026-04-25
STU-0000177,School_069,Birch Ridge PS,TDSB,6,52,86,0.766,0.511,N4G,Eastern,Arts,Yes,Yes,No,4.1,2026-03-18
STU-0000178,School_100,Oak Valley PS,DDSB,12,76,100,0.932,0.812,P7A,Southwestern,AP,Yes,Yes,No,6.4,2026-02-24
STU-0000179,School_099,Cedar Creek CI,HWDSB,1,47,82,0.981,0.995,N0N,Southwestern,Regular,No,No,Yes,7.0,2026-03-05
STU-0000180,School_044,Elm Ridge CI,YRDSB,4,91,44,0.974,0.784,N9F,Ottawa,Arts,Yes,Yes,No,1.3,2026-05-18
STU-0000181,School_060,Pine Park PS,DDSB,2,73,86,0.776,0.978,K8K,Durham,IB,No,No,No,7.9,2026-06-23
STU-0000182,School_052,Cedar Creek SS,TDSB,4,60,99,0.735,0.756,P0K,Eastern,French Immersion,Yes,No,No,5.5,2026-06-05
STU-0000183,School_062,Elm Park CI,HDSB,7,78,68,0.948,0.653,K0F,Southwestern,IB,No,Yes,No,7.4,2026-07-02
STU-0000184,School_063,Maple Valley SS,TDSB,3,56,81,0.98,0.929,N9P,Durham,IB,Yes,No,No,5.4,2026-06-25
STU-0000185,School_015,Pine Creek PS,YRDSB,10,65,75,0.969,0.925,M5K,Ottawa,Regular,Yes,Yes,No,9.9,2026-02-08
STU-0000186,School_047,Elm Valley SS,WRDSB,1,60,93,0.628,0.807,P9E,Ottawa,Arts,Yes,No,No,6.2,2026-02-07
STU-0000187,School_014,Pine Ridge PS,TDSB,10,71,93,0.734,0.816,P1O,Hamilton,AP,No,No,Yes,1.5,2026-02-03
STU-0000188,School_004,Oak Valley CI,OCDSB,6,90,89,0.92,0.927,L7E,Durham,French Immersion,No,No,Yes,2.3,2026-03-28
